OP,A1,A2,A3,A4,A5
+,8971,9729,746,8802,418
+,4661,7915,8897,4699,15
+,7791,5906,9385,7528,4547
-,4216,3619,7943,2823,7948
+,3570,3245,453,6850,9755
+,7787,4552,7981,6477,1020
+,107,1227,3888,1545,6047
+,4150,3681,1575,6067,5395
+,7040,780,9469,2264,8743
+,9846,2924,4786,6890,1338
+,8136,2389,7214,3044,4649
+,7826,4524,730,3523,9150
+,1987,401,6233,8952,1308
+,2040,4084,6219,2803,9799
-,8720,3983,163,8456,8891
+,6365,9319,4309,9069,9959
+,6772,32,1562,510,222
+,8266,1965,3570,6701,1935
+,9547,5845,5780,5583,3838
+,5449,3680,135,6949,3338
+,663,3046,7752,3104,1156
+,9088,2247,3817,3167,8097
+,3094,2058,3728,5229,8492
+,1015,2191,6996,7736,718
+,3939,9452,505,1250,3922
-,8825,9536,8932,2137,9074
+,3454,4859,9604,7372,2564
+,6795,3273,6170,9296,4139
+,297,1950,468,442,5551
+,1012,2983,8065,1717,6834
+,9987,2507,1422,6594,2642
+,8887,8000,550,4775,629
+,647,4961,9480,6536,3131
+,7439,9066,6020,7715,7538
+,2944,7374,7036,4120,5086
+,6866,4409,7627,4441,8221
-,742,7008,794,4706,9409
+,5127,5504,6967,3549,7116
+,6707,9048,5784,7902,704
+,215,4876,3412,8200,614
+,2018,6818,9884,3610,3706
+,5062,3806,1915,6853,2517
+,1043,4329,5068,4159,1988
+,1193,9185,5186,36,3582
+,6334,7490,1993,3727,3461
+,6373,6840,2144,247,5488
+,8948,6753,5100,1237,691
-,6984,2581,6663,4175,5784
+,276,6975,1324,2533,7703
+,4840,2880,3517,1691,7759
+,6749,2002,9200,1195,6885
+,3484,2358,2902,1398,5546
+,4920,778,7311,6278,1933
+,9595,4902,5557,2501,8372
+,3945,494,5367,3078,1333
+,7725,8861,7314,6995,9095
+,9340,5244,7507,1640,7211
+,8583,261,2178,2816,6273
-,6206,9664,1045,5432,4839
+,7490,8548,8822,3952,1178
+,5830,2389,7928,9915,5002
+,6534,5882,4593,1412,8848
+,8856,5895,3310,5037,6241
+,6153,8462,4445,4978,4876
+,4553,95,7897,3039,602
+,9039,5555,545,6053,7940
+,8633,6840,7042,8614,2695
+,519,1795,2697,4143,7961
+,1831,858,8660,7851,7223
-,5496,2987,8445,6973,3935
+,5267,5516,7699,2226,5653
+,7704,5992,5373,5583,7796
+,4898,4177,8975,6947,3049
+,8346,4014,4796,1259,488
+,6570,9506,1400,6148,1223
+,8726,5255,2665,8616,4606
+,9426,3992,2583,2269,2458
+,9860,786,3448,2484,7589
+,4800,1819,4750,4439,5230
+,4851,7115,1356,2342,6241
-,9546,8436,5634,2665,1163
+,8623,3897,4922,3315,1487
+,3444,9925,1561,1472,3447
+,2420,631,3532,1357,7530
+,8261,7279,6668,390,8866
+,6010,7226,9564,1146,6268
+,9579,1049,1424,5021,507
+,9590,6988,9198,3189,2690
+,75,8278,7027,2514,5653
+,6254,7520,4211,2284,7643
+,6885,428,2903,9078,6641
-,2148,5241,8365,2459,7640
+,2791,4727,2022,9841,4197
+,9624,8691,3906,254,5769
+,8934,5593,987,7773,7080
+,4141,6958,7265,6237,1701
+,396,7489,2775,3229,7607
+,7543,9926,3088,8511,6945
+,6905,1927,8458,9610,4484
+,6775,3898,3758,109,2686
+,9460,7705,9503,510,2059
+,9049,182,3358,2711,1596
-,4166,1365,4723,5816,7393
+,3532,6140,6386,5917,7123
+,9708,2597,2723,1376,5279
+,1940,7859,7700,4352,4981
+,5079,6193,4455,2449,2375
+,2228,2494,6330,801,5279
+,7259,5846,756,9819,9106
+,3399,1065,4880,1524,5925
+,5631,8869,3724,6742,2455
+,5026,7920,807,934,9811
+,8428,2908,6426,5937,9718
-,3854,8743,6389,5905,8455
+,5108,562,3204,9551,5330
+,6275,2290,5300,8514,3619
+,3581,6317,760,229,3479
+,9095,2821,6563,4661,4903
+,2908,2240,877,1772,6173
+,4265,2909,9951,6380,8895
+,5533,6143,3274,6462,75
+,842,3596,237,2735,2655
+,2809,4377,7736,7454,457
+,7781,9632,7874,2286,9001
-,9327,5260,9259,8006,2341
+,5707,551,1986,1791,5027
+,4238,9823,3971,594,1030
+,2443,4515,8110,6481,1073
+,9034,3882,2300,3807,3875
+,2218,9260,1856,1201,8714
+,6728,7682,9765,5496,4597
+,9457,7277,9429,4062,1951
+,5067,5765,3165,1548,5201
+,2075,7923,6829,2607,7135
+,5672,96,4623,4367,8289
-,9924,7505,3842,8039,7030
+,7041,3792,103,3236,2047
+,1903,6660,8975,7015,1503
+,8799,3917,7063,7831,2884
+,2046,9679,6139,4148,2187
+,1484,7957,5112,6481,8169
+,3947,3266,9138,7355,7916
+,9611,308,247,8655,1854
+,9951,9380,8342,7225,5018
+,4910,7538,6435,1412,2230
+,7139,8922,4252,1738,9178
-,4276,6610,7351,1657,373
+,6368,2145,5113,6615,9241
+,4280,930,6473,7192,9210
+,1110,2750,2381,1726,935
+,2166,6841,1471,2040,1235
+,379,8431,7525,4122,6051
+,9075,1004,2223,9978,1313
+,2076,1907,2186,654,8820
+,3157,7825,9115,3860,596
+,7364,6553,5800,1958,8220
+,3213,9013,3339,7542,6659
-,316,2440,4447,2063,4350
+,5173,3513,7074,7387,2055
+,8354,8733,8688,1125,6072
+,3182,7927,3954,9417,7654
+,3665,1236,5963,3094,6147
+,163,8745,8176,1777,6737
+,8702,4132,3436,8534,962
+,190,9800,3203,911,8463
+,4892,642,828,5320,3925
+,1340,563,8564,3676,9199
+,2733,9197,9751,6502,4071
-,3380,1391,3622,2943,7459
+,8495,8988,2019,4771,2343
+,2941,7963,2705,8089,3623
+,921,8010,2388,7225,801
+,484,2413,8938,2661,4203
+,4811,7566,7913,479,9819
+,3514,262,9164,9436,5521
+,714,6237,4844,6483,525
+,3186,2975,651,9498,737
+,547,8293,3002,5886,6432
+,8798,2365,3712,8383,4266
-,7924,8967,9260,8826,7977
+,2242,7440,7407,677,6021
+,157,7978,3688,8136,2880
+,8247,8254,66,3271,2089
+,8527,5823,336,2758,8403
+,1659,3153,4825,8398,7053
+,6303,1038,8978,129,2881
+,8549,2155,393,2804,132
+,3915,4361,3498,4130,8026
+,7340,473,5474,4931,8233
+,4101,6236,6470,3949,2370
-,5454,4047,5044,6523,188
+,7181,2453,9834,3169,9050
+,2041,5180,3887,7455,2636
+,2521,7871,7581,4512,1623
+,4963,5719,5271,3369,5623
+,9844,7572,1028,61,9174
+,1870,2275,6625,6349,9800
+,243,3795,3696,1869,5516
+,6339,5190,2063,6486,4103
+,7961,4604,1520,109,3548
+,1020,4554,610,6012,7118
-,2404,6399,7292,1691,6
+,3316,5331,5163,1965,5901
+,3992,108,6879,2427,3276
+,8287,7298,8637,7436,6799
+,6577,735,2764,1882,3261
+,6994,7483,9387,5264,8318
+,2108,6522,4618,8383,2272
+,9441,4394,6856,4840,460
+,2905,7881,3769,7752,1194
+,6714,5355,5967,4920,4337
+,5804,2647,7934,338,4936
-,1104,5841,178,6833,8440
+,1850,9247,1951,7427,9837
+,9598,9205,9995,7611,1635
+,5398,5736,4795,4623,5840
+,6298,8348,7880,2801,7391
+,5837,9981,6525,7414,5046
+,1747,9576,2122,9907,2407
+,7368,8816,3071,5236,4647
+,3850,5697,7097,7424,7227
+,8547,1863,7970,5740,8677
+,2427,3532,9923,4280,6506
-,158,5720,9767,4107,6083
+,8797,123,9926,3260,8163
+,6961,9248,6878,5550,830
+,3814,8851,9562,7715,6671
+,3928,5569,2353,5318,8175
+,794,9687,7326,4973,5998
+,7126,3898,1528,1280,3974
+,1767,2395,5407,8741,3690
+,8006,6587,6816,7116,9104
+,3376,1564,8369,1306,140
+,6726,376,463,9290,1040
-,658,9353,9023,5161,6794
+,9538,4914,5533,785,5431
+,1068,7144,2002,1892,1656
+,1211,1333,1544,2468,6846
+,271,873,1919,3950,3591
+,9983,1729,9621,4150,7299
+,5917,3446,9977,8042,803
+,7134,4782,7969,7596,1458
+,7599,1613,1341,7361,4872
+,8919,1155,298,3599,5118
+,8035,8076,2958,3689,5711
-,5650,8872,3456,7249,2839
+,8199,7196,4412,5231,7987
+,5183,5932,2201,1469,2993
+,6274,1320,3811,5320,4574
+,8451,3545,200,8173,1330
+,588,3518,3355,7704,6466
+,5638,4270,7877,1149,6209
+,8774,5183,1274,6144,3172
+,1376,1841,3961,7520,4147
+,5223,212,2823,1231,6575
+,2310,6554,3706,5619,3143
-,2162,2339,4229,9400,7062
+,4053,5995,8094,1088,6138
+,7182,4056,8224,3372,1685
+,4471,9867,3831,4516,2386
+,8068,4254,4495,370,4474
+,443,8938,7939,6720,451
+,9481,3959,7548,5246,8465
+,8978,1146,5117,9114,7524
+,8952,7824,339,3529,8319
+,6192,9033,2914,3319,305
+,8270,7789,2791,7565,734
-,578,6934,4003,4578,3407
+,9120,8289,6794,7467,4678
+,3315,6476,4948,2903,5917
+,9097,4892,2176,1518,1463
+,1362,6155,3034,1762,5943
+,7886,4665,1085,1279,530
+,4981,6883,3702,3553,9559
+,6683,6018,9520,1547,3836
+,3408,961,5988,164,9498
+,7401,9007,335,210,5754
+,6746,6194,8587,1157,9785
-,6732,28,3320,7440,6621
+,5085,3199,3787,5330,8012
+,1865,6782,5091,8594,7590
+,5691,5994,626,9883,3909
+,7326,4678,3728,9352,1200
+,4539,9140,9489,190,115
+,9364,2857,5604,2520,7011
+,4745,9076,3083,5132,2381
+,346,620,1731,7727,5455
+,5468,6059,6412,7151,7635
+,8259,7847,9160,8079,7496
-,4623,8239,3445,5986,912
+,1924,5903,7208,8275,1516
+,9356,2541,1986,1886,4628
+,3179,2585,4791,5654,9852
+,542,9526,8435,9115,5236
+,8050,8829,171,6621,495
+,4205,1545,1975,684,5576
+,6766,7910,2338,5371,1152
+,1170,3456,329,3113,9001
+,7865,4642,623,9730,3463
+,2052,2347,5855,2257,105
-,1713,725,3757,1153,3275
+,8615,4379,8297,7774,2345
+,3339,7836,6008,8829,7083
+,2804,8982,4899,2366,5059
+,3439,8094,8120,3837,7398
+,764,1002,4403,2561,6201
+,3412,9762,3143,9678,6186
+,2506,2814,4687,6437,9799
+,1085,7920,8712,1159,5274
+,8223,5439,5277,1051,2682
+,8060,9259,5060,8575,1621
-,8864,2296,6859,3479,5320
+,7698,3768,515,3893,4991
+,154,7807,1181,3194,6904
+,5299,1798,9457,1193,7610
+,4569,8035,5052,439,2303
+,2742,3200,8656,1217,6742
+,9972,5343,5645,3667,6783
+,5738,4990,5746,9277,427
+,4841,8280,914,8864,6389
+,9054,1330,3412,1199,8335
+,4788,3796,8263,1005,7708
-,5926,3705,5609,9912,7267
+,516,9961,2109,2144,3150
+,7518,8600,9428,2273,2155
+,7072,3050,2396,8216,5711
+,54,2106,1224,9939,8995
+,39,9940,4579,1045,8245
+,9117,7525,2519,3949,2270
+,6464,909,4187,5279,8296
+,8510,7485,5857,1285,2747
+,857,1148,1637,3213,7107
+,7709,9076,3751,6118,4797
-,8606,6090,8800,1388,1267
+,2749,4532,3141,9170,9581
+,8184,6305,4717,7143,1601
+,1916,9076,7989,6736,8264
+,1019,3055,3497,5725,3302
+,5657,7103,3973,7306,2743
+,5443,1328,2203,1186,1819
+,7620,7617,1547,4921,6779
+,7927,1899,5611,9980,7526
+,7504,5056,8488,9003,4713
+,5389,7615,7525,9914,3036
-,2573,9985,4624,1170,2905
+,1959,5294,2005,6658,3873
+,3504,2911,3179,5544,7606
+,9859,3021,5878,4832,4603
+,9271,7929,9517,5123,4504
+,4548,7922,3990,9355,3701
+,9587,8041,3650,8710,26
+,9080,204,9783,7508,1721
+,6160,3140,1515,6651,7870
+,7558,7628,9618,1923,4492
+,5965,3212,3263,8899,9911
-,6551,8328,8604,877,4372
+,2631,9123,9441,4535,1897
+,9139,4488,6874,1297,650
+,9416,1518,4481,6332,9927
+,8412,7694,7862,3430,1861
+,1261,7787,168,6582,2974
+,1120,49,6756,9161,1049
+,9452,1323,9124,5605,3631
+,4804,5802,1893,955,7008
+,1795,2228,7189,2997,6250
+,3903,9069,8814,6612,2020
-,1193,9185,5186,36,3582
+,6323,654,971,2705,1253
+,8921,3959,6442,3195,3830
+,200,3291,561,4295,1412
+,5796,9944,8554,6196,7632
+,5138,6965,2423,6609,2774
+,8466,4973,7089,4416,9429
+,9988,8736,4239,7009,3232
+,1706,4963,2881,2225,6053
+,5192,1990,3498,631,3866
+,6310,2966,1527,1033,6230
-,2174,305,2309,4261,3880
+,4767,1754,3219,6344,171
+,4993,1032,5171,9276,3488
+,6,4123,7907,4647,8347
+,8471,2652,4574,4675,4964
+,6449,201,8033,3161,3240
+,9561,6769,1775,265,1376
+,2415,70,6221,7368,3455
+,3983,5713,7079,195,668
+,7898,8838,1224,625,5214
+,1353,259,9880,5000,9871
-,8102,9873,3029,2000,9146
+,8721,3745,2990,5850,5077
+,841,5844,5947,8757,1522
+,2448,896,7106,3145,6511
+,6798,7752,5012,1537,1354
+,9855,446,9502,9983,1236
+,5590,3041,8446,5682,8714
+,5625,7379,6459,4602,6213
+,7624,501,6611,6553,2683
+,9149,4334,2255,7188,4671
+,2360,1331,2884,5383,8039
-,9094,9465,32,3872,1295
+,6955,3276,4564,9446,1426
+,5531,6135,3250,4507,7839
+,1640,8158,2410,8766,8551
+,5714,4540,953,1942,3119
+,8110,1442,7551,8467,2049
+,5724,3470,8589,3044,7369
+,9963,1311,712,6709,6116
+,7753,2858,9942,5901,7895
+,3200,9670,9476,9540,2821
+,1661,7011,3966,8630,3359
-,5425,69,9065,1065,2366
+,5711,5136,1449,9840,2545
+,1244,8539,9874,443,8331
+,9173,363,2414,8342,7104
+,9820,5374,1802,5077,3024
+,1560,5655,631,2427,3711
+,6583,3792,1578,118,3263
+,1856,1100,4694,6219,3356
+,2389,5916,1110,8048,1862
+,1113,5732,956,3297,4960
+,6957,6422,8980,6332,5369
-,570,5856,834,8868,6721
+,4169,5703,4402,3131,4689
+,7149,7719,7867,7340,5968
+,7859,9404,7325,3684,8530
+,929,4501,59,8086,7532
+,9302,9385,5034,4066,5679
+,1271,6598,9890,7479,9238
+,1097,6581,6215,8711,4068
+,4801,3143,4672,5271,1351
+,4852,5800,7177,7315,8015
+,1105,5983,9640,6985,7411
-,1409,4425,8671,337,6201
+,7993,1443,322,2469,60
+,4885,7147,3504,2758,1631
+,2380,6173,9347,4571,4442
+,7584,7888,8495,6894,2819
+,3431,4853,8051,1281,8242
+,6391,2675,5031,4116,7295
+,4014,5521,2331,5243,6254
+,6687,3742,4502,6254,2182
+,6086,9617,5447,5880,6786
+,967,8888,9131,5322,5950
-,3330,6354,6207,8382,145
+,6629,1206,4354,376,3799
+,7009,6481,9182,5488,4407
+,4772,5823,9525,8895,7009
+,6487,2996,9372,4112,1703
+,3025,2236,9994,9798,4806
+,8005,9471,451,7808,8128
+,2995,4504,8194,5413,2
+,47,7418,4032,9032,6646
+,5366,1306,998,6830,5224
+,4133,2431,1534,564,6816
-,9287,7140,3761,8989,6833
+,5433,3163,3354,9009,3775
+,7377,8446,9567,2547,1265
+,1891,5575,98,1387,3107
+,5213,9599,2745,2889,7752
+,1185,4666,4188,9417,1220
+,2315,8829,8887,8781,3229
+,6108,2535,9171,3273,400
+,7544,7409,273,2535,3311
+,4409,2063,6834,5446,1180
+,258,8994,618,9237,8397
-,9006,1507,4562,4296,1015
+,7545,1748,2166,9250,7527
+,4211,9535,4303,2671,2275
+,2319,1260,1390,3487,8494
+,9651,7902,7931,6409,1438
+,8496,9036,8436,4284,9911
+,5435,7878,2887,7102,4869
+,875,2826,9058,4273,2055
+,3420,6243,9123,8753,9955
+,5157,3660,8759,5868,3440
+,5201,4534,3213,5266,6983
-,5817,1205,398,1089,7467
+,8486,2099,4757,9441,866
+,38,7746,1381,9596,8172
+,2699,9486,4308,1065,6902
+,2838,7097,60,4524,4193
+,5689,2016,1861,6650,8707
+,2465,8697,3886,1243,7650
+,7058,3425,9154,5977,9157
+,9606,5371,6816,8333,2557
+,5185,1431,357,9464,8414
+,6302,2155,9556,1128,1487
-,7921,8353,221,7991,37
+,8685,2285,5554,3989,5018
+,5663,6914,3762,2166,7438
+,1114,4468,6393,4443,6713
+,9438,720,3409,9244,2264
+,1811,2322,459,4808,8482
+,3341,8290,9487,1691,578
+,195,2949,5253,6868,4858
+,7907,9810,9656,3292,3134
+,331,1240,7609,4677,4282
+,2486,4645,550,2881,9831
-,4610,7373,465,7874,5677
+,2055,6805,4773,6364,127
+,7806,3416,7548,1900,4865
+,8311,6839,7530,8183,354
+,7839,2172,3920,632,2251
+,3026,802,6184,1101,2977
+,4331,8234,6362,6238,3831
+,9894,5711,8213,9647,8985
+,1264,2840,1000,9253,704
+,6082,2539,5444,7183,7540
+,7303,6246,870,5268,5334
-,6559,3284,2351,1216,7077
+,178,1441,4238,4758,1243
+,9880,6432,6455,3727,4102
+,8749,8361,8106,7441,4630
+,2295,9137,1381,1843,1419
+,5591,3602,4547,1697,9779
+,4149,3448,6076,1200,9540
+,7270,5114,4041,7582,8901
+,1347,256,3202,2984,3150
+,5695,6907,4537,2849,1402
+,8177,2786,4702,4635,398
-,4981,6883,3702,3553,9559
+,2232,7167,7315,5003,6674
+,6155,9770,5772,3623,936
+,4825,873,7880,2573,9664
+,7617,9494,5463,2589,783
+,4503,2574,6419,8510,2897
+,3699,3343,4462,7556,8349
+,6584,1177,2338,3320,9885
+,7018,5879,4607,9773,8193
+,3953,801,2601,5579,7318
+,393,2267,2943,4970,3192
-,3401,6081,1940,1726,4056
+,2792,9679,1971,7089,8113
+,3914,8447,5828,7490,4925
+,6592,2022,9215,676,8670
+,6507,7998,5845,9383,6174
+,2222,9989,1632,4298,2315
+,119,5219,4156,9540,7530
+,8994,7268,1539,1202,5685
+,7804,6701,8328,8391,9801
+,5832,8314,5796,7645,9294
+,5705,3810,8517,1790,9822
-,8527,5823,336,2758,8403
+,5575,312,6598,1352,7883
+,7848,9509,397,7970,6658
+,5697,9556,4857,3278,8706
+,7086,4508,4580,3580,7365
+,5790,233,9911,2394,5984
+,7321,9538,3232,3715,4840
+,2649,9639,7482,9099,75
+,2258,6466,7994,9519,4569
+,6741,8965,8916,3349,1012
+,4371,3846,9611,2583,1535
-,1620,2167,160,3983,5696
+,8350,6442,6091,6888,8946
+,1510,7743,1851,8303,2648
+,4270,2785,3720,4695,2247
+,6215,210,4910,4175,398
+,9943,3126,8742,6639,1452
+,895,8069,2822,3795,1877
+,2179,8903,6814,1806,8154
+,9804,343,7559,550,2112
+,9429,900,6129,1398,9346
+,121,2281,251,2147,9370
-,3514,262,9164,9436,5521
+,4436,5628,7072,8518,5801
+,5150,2308,6881,3583,6696
+,5494,1218,9374,7235,2341
+,5535,7212,6748,6471,4690
+,1151,4443,1771,1013,8071
+,2566,7973,2019,16,9450
+,9214,3164,2741,6447,578
+,697,4750,3925,9881,5018
+,8024,977,8053,3853,441
+,7474,3315,5252,8011,4230
-,8419,8171,8265,2658,6681
+,260,8155,5979,1647,1769
+,7101,7209,1855,6194,2452
+,4446,7373,5957,8634,1184
+,1101,8467,9359,4519,1892
+,2794,4990,717,475,6215
+,7515,7822,8311,3444,3979
+,1249,9367,2920,2491,3236
+,9336,8689,9250,2968,9141
+,7110,5038,87,6265,6635
+,4076,5532,7612,5543,8675
-,4521,163,8767,4604,4135
+,8588,1137,7364,2057,5803
+,1029,178,5307,9144,7829
+,9369,3877,8553,1461,8369
+,3793,1982,4177,2542,4018
+,8813,3355,3847,6641,961
+,7324,1072,3460,236,5773
+,9016,8343,3505,5624,3041
+,9170,675,6287,5348,9237
+,9681,3961,1386,6899,605
+,1359,71,3344,994,4522
-,8060,9259,5060,8575,1621
+,5500,9904,1620,1417,5779
+,4871,9034,587,6506,7820
+,721,2514,3661,4802,7264
+,6467,3097,4134,3550,3702
+,9066,4502,7449,645,7349
+,2533,8505,1358,5563,3542
+,1772,4051,9925,9237,5870
+,2407,7142,7925,5959,693
+,1126,64,5055,2595,4406
+,6051,4053,3334,5086,4070
-,3220,3821,9685,704,3612
+,5343,1148,3658,3619,2550
+,8244,2369,7187,6575,715
+,2051,4724,8674,4105,5952
+,4787,8758,5291,1901,5340
+,9181,1493,3892,2457,9132
+,1140,6371,845,2580,1176
+,5254,4333,1282,964,9681
+,2587,1498,4843,7940,942
+,6482,6786,8271,3340,3233
+,5070,611,5519,7429,887
-,6516,4522,8686,8753,396
+,4664,5430,9805,3239,8592
+,4463,5428,327,4207,4233
+,5105,6821,8387,7810,2702
+,5029,854,4614,5706,5918
+,1373,4899,4118,1125,5608
+,148,5973,7311,3477,8338
+,3217,6481,1998,4664,3625
+,1283,7372,5825,1938,2076
+,4634,5905,1771,7956,7948
+,9488,5575,2091,5598,2723
-,4711,3372,7750,7309,4651
+,2341,3445,5263,7089,2303
+,9927,8673,9429,4731,6028
+,2239,6087,1990,7362,4484
+,138,5295,7097,8797,8790
+,3240,6684,1099,9934,699
+,3307,4743,9457,3151,5128
+,6226,7049,5369,2864,7373
+,12,5818,7780,4685,3205
+,2409,7754,8737,3097,822
+,1117,7115,8384,4805,4957
-,9846,2924,4786,6890,1338
+,7014,6008,4231,6328,5373
+,7935,5743,4050,287,8586
+,5771,448,3660,8638,1633
+,2961,9645,3021,6458,7769
+,5410,3854,702,6570,5257
+,814,1830,3284,1905,5537
+,4239,3073,7061,4822,8998
+,1828,6404,9263,376,5154
+,6401,9678,9930,219,9676
+,5217,8810,9831,4684,8939
-,7817,5513,6528,8313,6298
+,2569,1085,5567,8711,7287
+,3448,8187,5321,279,341
+,9304,8023,1825,2157,403
+,4689,4199,2243,8871,4600
+,7484,5652,2666,426,6894
+,872,1012,876,6796,1676
+,1188,2113,951,1419,4251
+,3198,8511,5027,4683,5348
+,1575,3181,2100,1275,1013
+,6796,3272,1816,9914,9341
-,2308,9336,5806,7480,5275
+,5467,3351,962,6204,4382
+,3469,5993,5075,2815,3803
+,8178,6512,4942,7993,4313
+,4111,4824,7637,4787,3606
+,403,1194,5876,7328,2408
+,7214,2016,8727,3367,4433
+,7833,4375,4248,2200,971
+,4093,7745,7185,834,1517
+,9558,7455,2437,9327,647
+,3236,1657,3110,3391,6258
-,4255,7866,5745,5451,3411
+,1951,3450,4045,4427,7609
+,8040,1566,6674,968,8940
+,1968,9094,3910,9479,8637
+,853,2138,9087,8280,2426
+,5874,1022,6037,9484,4939
+,424,6820,2970,7359,5885
+,5342,1618,3398,284,8472
+,1229,2121,1424,7335,7597
+,263,4871,3782,5184,866
+,5677,4805,9429,8401,5390
-,9117,7525,2519,3949,2270
+,6596,3448,7565,5797,9125
+,412,8850,8899,8418,3815
+,6923,4499,6803,3869,9286
+,6823,633,6369,4333,7146
+,1662,5931,4549,1523,7421
+,2969,2546,9960,75,1076
+,3895,7333,2607,9910,8570
+,235,3317,3063,3610,3100
+,3602,5576,515,1365,7766
+,72,7116,1851,2888,4384
-,9932,3469,878,9136,7432
+,5585,9645,187,5840,1144
+,8763,8583,6867,373,2479
+,8044,7478,4874,1450,6805
+,6628,118,4071,5481,9623
+,835,413,9333,3492,3445
+,7354,6184,9396,7717,3558
+,2556,1735,3774,7762,4309
+,8609,4408,8047,8006,4046
+,8408,3629,8176,4563,6283
+,7636,2532,8310,6146,3545
-,989,2667,1969,7275,4092
+,2972,7582,4852,6246,3242
+,3384,8230,9681,5813,7634
+,7569,9769,4845,1441,3829
+,4572,4967,4694,5426,7678
+,5872,1751,8201,518,6523
+,6979,4813,6700,3402,1515
+,480,8398,8993,1275,734
+,3486,3579,4274,8863,9591
+,4021,2905,5388,76,2089
+,3374,6812,1657,9170,9703
-,4008,2486,8725,8117,2841
+,2165,4869,1965,1041,1872
+,2522,2241,5325,4535,8129
+,6731,6346,8569,2618,9270
+,4592,4576,8012,7862,9258
+,9731,8192,8011,415,2557
+,2289,7170,6923,1456,6905
+,2235,7069,4562,8053,6566
+,4252,2623,9591,9225,6153
+,8752,2238,8897,2272,3318
+,7487,4535,6029,6977,7743
-,9590,6988,9198,3189,2690
+,9613,1619,4294,4189,2055
+,3931,3391,2145,1239,916
+,9886,7239,955,6630,2926
+,5178,76,8508,2841,992
+,85,451,3816,2301,9368
+,5725,6300,5916,2374,7934
+,4092,3721,3290,8196,5316
+,5579,6308,8911,3117,8801
+,9670,4199,5594,2198,8470
+,8246,7405,1581,1187,3694
-,5796,9944,8554,6196,7632
+,1720,4186,8524,7452,1091
+,9933,9470,2175,6538,8730
+,8154,2622,6837,527,1267
+,3698,2873,9486,8418,2319
+,5001,9213,5980,6977,1748
+,6630,5797,4461,1598,5444
+,9809,8025,6861,8514,2934
+,2688,5429,6842,7839,2513
+,4064,6361,5002,4337,260
+,5088,4547,8426,4297,3168
-,4284,5978,4760,3515,651
+,6669,3053,3557,163,2188
+,7944,3019,9694,4360,6440
+,2169,9935,7103,9228,2722
+,8542,9010,7686,4535,1716
+,4722,4453,9540,8263,3844
+,8869,8070,5646,7249,6810
+,3935,2700,5513,7359,2635
+,7353,24,193,546,7636
+,5628,392,6417,3358,1153
+,9944,9226,6803,7803,2432
-,2726,7500,4633,1977,6274
+,9021,9703,1400,3866,4070
+,2191,9273,2982,576,4524
+,8584,8717,1592,6840,3939
+,3805,876,6530,5417,9877
+,1695,9624,3766,2729,8485
+,3052,898,2608,2121,5728
+,1730,4985,2742,5007,2825
+,1098,9457,2296,667,5114
+,407,8759,5990,2374,1457
+,8399,5738,4225,707,1674
-,2302,8320,4094,5826,2653
+,8878,3383,5882,5411,1367
+,5904,5227,6342,2726,2845
+,3081,7439,2465,4228,5431
+,8286,9766,287,6197,7571
+,9015,9154,1329,505,6032
+,1756,2425,8358,6996,3596
+,5126,4890,3623,2056,9644
+,5758,8638,8803,8288,276
+,1613,3703,7753,5174,1679
+,1463,2366,6478,8061,5210
-,9653,7569,7884,5617,9955
+,1950,4562,7730,9321,1014
+,7697,8797,9604,1027,4037
+,5508,8541,8013,3590,7933
+,9439,2487,5694,6192,2807
+,1977,9504,8110,9252,3283
+,6554,6502,821,3449,2400
+,9496,8981,8961,9148,8261
+,788,2433,7241,862,8074
+,6126,9278,6526,3573,1632
+,1501,3786,5802,2491,8267
-,4891,3340,9284,1122,6934
+,6540,1117,7327,5141,6074
+,1593,563,7921,5230,896
+,3954,1494,8487,5831,3480
+,2518,6914,2962,2451,9742
+,4240,7951,404,4382,5618
+,8094,3678,520,1814,4123
+,8750,7152,3838,3153,1346
+,9952,2554,7756,1109,5467
+,7612,1916,2497,3296,100
+,9726,9896,7526,873,407
-,3705,2609,4485,7091,4193
+,4877,3600,2330,8894,2506
+,6697,3648,9895,6928,5521
+,6569,8616,8253,275,7953
+,295,4556,5309,1752,9696
+,9415,1193,2592,7265,1840
+,8322,4131,2557,6950,7019
+,434,9730,793,2328,1414
+,2670,6168,8450,8566,5638
+,3221,200,8671,9167,230
+,7452,4778,965,2629,7812
-,190,9800,3203,911,8463
+,1492,672,1105,9716,2941
+,7576,2209,1650,6933,3389
+,6541,4410,1741,2353,3512
+,718,7801,2809,9259,6330
+,9540,9166,938,8103,4585
+,9422,4611,5987,6816,8392
+,2881,9431,8400,856,1514
+,2065,9290,4670,7865,1397
+,2589,559,9026,1366,9891
+,6824,165,4915,9161,984
-,1742,3789,7862,6834,3378
+,8857,9520,52,4133,1754
+,8243,6288,7053,1738,3113
+,3810,9922,5513,55,3459
+,3308,3671,7465,9890,883
+,7913,8395,7740,8647,8595
+,832,2580,8288,9004,5804
+,7159,9755,2597,4024,5730
+,342,2645,1403,5474,7426
+,6448,9841,2693,7094,4249
+,4997,5524,8322,3896,8551
-,782,9295,745,8505,7267
+,3562,6322,1016,7209,4042
+,3364,9597,731,7947,6859
+,8574,2880,1382,944,6057
+,5942,4843,2691,9237,7994
+,4757,2464,2820,7993,9005
+,863,117,9730,6894,1422
