OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,5872,4340,3388,8049,7483,5936,8986,3423,2069,9125,219,8218,8196,9609,3266,1021,6851,3644,6936,998
+,1703,4388,221,5639,8879,8582,5874,6086,9155,2142,7391,2037,94,8813,6041,6992,4069,5651,7137,3519
+,3894,7992,2652,6792,9180,5156,7505,7103,7203,1982,3380,4614,7554,603,6483,3980,2060,8453,5093,5415
+,2536,5971,8716,416,6560,3933,4753,2283,6322,7094,4923,456,8916,8290,8230,412,3229,342,282,6446
+,7331,5158,9910,4143,9429,8294,1614,7126,2770,5674,3383,9646,7950,2798,3222,8205,8535,6026,2991,9585
-,8394,2642,3828,8590,4160,3182,5595,1671,6630,6496,226,9638,3457,3182,509,1976,6360,8341,3842,2484
+,4103,4641,51,168,7278,1094,5362,8861,1603,7181,6573,261,3147,7322,2631,6229,7342,2461,1011,5995
+,8483,9722,649,5417,1982,6977,7921,8972,6735,9620,5130,83,3941,1026,4405,9985,4143,343,5844,567
+,767,9764,1708,3112,4049,7714,332,5100,3487,9566,7707,304,8385,5312,1180,4373,9130,9485,9865,5840
+,2560,1356,1313,5858,2640,2550,783,482,3352,8518,1470,3271,4280,1547,7404,5503,8243,8482,5711,5825
+,2527,7448,4514,8862,6433,4314,8202,1750,7184,6075,6343,9750,6762,201,6544,6016,4988,5701,2633,8029
+,2855,6012,9626,1596,5674,1095,7703,5437,5978,7542,5594,1245,6886,8409,4458,4421,83,5080,2378,177
+,6436,3585,1676,1327,7549,580,8967,5415,7846,2638,7589,723,7161,2190,9152,38,1654,4551,6417,3053
+,9206,1772,7391,2805,397,9192,2262,8049,7019,1664,9062,5107,6842,7707,7626,9774,352,8942,3183,1235
+,6889,3185,8627,7283,2605,305,5055,7587,5568,6492,4283,9911,9060,1060,1083,3306,1237,7000,2078,3167
+,7065,5441,7334,7107,6269,6221,1770,7117,4632,6079,5762,4385,3820,8471,188,7972,2848,9322,9596,7753
-,3802,869,237,5646,9410,3518,4862,2445,2542,3824,7588,9777,3882,7553,7018,9587,3859,9687,3330,9763
+,1277,6407,7210,4018,2020,4892,3482,3954,6743,2857,9874,8570,4921,7799,6174,5392,9152,921,9138,790
+,7725,680,4763,5217,8071,8478,1829,1696,3231,338,9500,9891,2600,3207,5612,4354,2329,9040,2632,9363
+,181,6778,8674,4007,901,3186,4085,2918,3391,9788,8839,8403,7706,958,7264,898,6485,2166,9360,1691
+,80,380,8010,7720,2215,6555,7199,258,3512,8413,308,5346,7751,3238,2417,9859,5775,8727,1374,943
+,9389,2787,7545,3108,1722,2795,8340,9667,2543,9732,1186,4832,4563,1502,7453,1904,7211,3076,3214,9926
+,2141,2440,7864,6494,5637,4224,6708,4904,8350,8042,5947,1604,2433,4820,7477,7583,2526,4430,265,249
+,5599,2978,3929,9371,6186,4897,7249,5847,8015,7314,2609,2989,948,7188,5514,7772,7829,3499,9371,4971
+,7388,5333,740,5972,529,9607,6930,7945,977,1918,5600,8106,8404,7197,1433,4970,3659,7507,1580,2386
+,736,4559,5313,5507,3448,544,865,3377,6816,4240,4106,2782,8574,9445,8481,8110,7179,8907,4120,8783
+,2417,678,9292,5754,4664,9193,4022,1481,7706,9197,490,3582,9612,9156,239,2247,943,1376,1753,3195
-,2527,7448,4514,8862,6433,4314,8202,1750,7184,6075,6343,9750,6762,201,6544,6016,4988,5701,2633,8029
+,8220,4541,9913,6062,7687,9193,799,7577,9600,4809,7887,8344,4517,4933,9758,6920,9461,4817,8288,9660
+,713,7831,6656,220,8193,9276,5360,642,3500,7653,3941,4642,5076,9815,9072,140,8691,3605,838,618
+,1233,2155,5676,9766,5641,8073,9447,1974,5544,4896,5360,3516,2453,2969,9731,3136,7143,4525,6985,6774
+,919,9792,601,4044,8113,8282,2574,3565,1791,2903,1936,7414,460,6437,9631,5526,2780,9493,6949,8041
+,7590,7294,9258,9919,7706,471,348,5628,2775,2972,7805,3986,9984,9006,6685,6337,9996,9516,5458,3088
+,87,4596,9808,6495,5487,5915,3513,4186,140,7730,536,4454,4129,259,455,4116,2167,7317,1309,4481
+,4800,3188,4331,8796,4799,7823,5970,5195,5482,9983,1586,1098,7352,9251,4247,6868,8914,3966,3706,4210
+,6683,8572,5305,7717,9797,3310,6601,3389,7380,9601,6825,3626,9807,1919,4591,3411,9388,4011,9291,9445
+,5401,8950,6936,6430,8986,1496,2583,4281,7095,5321,9215,3631,8531,4560,3704,5994,2114,3512,5341,585
+,4356,7202,1059,8337,2887,7567,5811,8724,9500,9055,4014,3169,8610,6070,4027,6031,2853,2757,1306,7152
-,6445,422,157,4025,9477,953,4383,9127,6932,9651,9443,9704,7730,9615,2103,8198,4872,1895,1510,2893
+,3474,9973,9775,7507,8104,1119,1251,5613,61,2470,9510,3177,4537,4121,9391,5665,8079,4966,666,6493
+,6625,464,4361,6499,4429,9619,3767,7673,9567,2907,6435,3290,603,7586,2986,5602,5989,8832,7675,8754
+,3503,9349,2023,5080,4610,6178,6029,4140,1394,5525,9978,4882,6794,3344,5853,4763,5250,174,5752,1646
+,1293,5219,443,843,6338,6896,7680,4338,6931,828,5334,2765,4083,6733,5103,561,6743,87,2948,1597
+,4040,4745,6514,9592,2266,8382,5282,8207,3610,3346,9057,1801,4217,5015,2949,5781,4746,9303,84,8094
+,2659,8207,1498,7385,330,6642,9388,4515,9764,7530,2958,3107,5622,4358,3439,6036,344,8500,9107,2876
+,5918,2209,1061,8808,3321,1958,2140,7587,9627,4181,8129,8176,1180,6703,587,6045,9181,845,3843,5412
+,8213,353,4515,5241,8570,5908,7863,2974,8790,7752,3022,9965,7496,1741,1966,8817,7668,9630,3648,7813
+,2913,5508,928,7034,1863,4207,2854,7608,4520,5156,6938,4773,7706,3653,2147,2863,6274,6268,9861,7097
+,7392,1231,7063,405,4635,6303,3994,3833,9861,2423,6947,4182,2238,6180,7628,5973,5268,5620,3781,3603
-,4039,1136,282,2800,6425,804,395,7201,7731,2631,1517,8493,245,3649,2762,2791,1289,141,865,1621
+,1481,9622,146,8747,8891,8913,1187,2536,2144,3918,850,8309,1221,1263,3668,7717,570,829,1120,1889
+,1128,5207,2178,7802,8128,4114,5677,5738,4057,7705,8041,4098,7746,1578,813,4226,9062,3560,1597,5837
+,303,9039,428,2998,4689,1353,2595,1192,1492,9109,1099,1512,8972,5614,8732,1763,288,1358,5783,337
+,4608,5184,4064,3112,6252,8547,2275,2991,4509,1373,2034,3538,379,8301,3949,1618,8276,2866,9193,2252
+,4982,7824,4976,2804,3289,7335,8776,5954,3000,8997,4972,5059,9359,2103,628,7827,461,9613,3219,4217
+,4194,3168,586,3816,6109,9889,1983,7564,3246,5520,6060,7515,5479,8992,7186,3775,1786,4843,9430,1838
+,2608,1099,9779,3077,3361,2047,220,7291,557,7176,2,9904,7598,4231,9918,7517,6096,8052,3406,8079
+,5560,7585,7304,7427,4656,686,7257,7125,8449,7236,2062,9357,5227,2488,3401,3803,9411,7849,9558,9660
+,8314,3817,880,6153,7300,2964,3364,474,7268,9307,3605,6517,2380,7604,4724,7446,9919,663,6004,4795
+,7667,1586,1794,9804,8291,456,3137,6993,1707,5329,6718,4735,562,5002,1689,131,8220,3660,5078,2860
-,5286,3069,5296,2298,7724,1171,7788,4445,2675,4837,1163,9648,7924,8215,626,7926,5517,5441,3923,3393
+,3402,1553,637,3848,7200,6795,1865,3124,7790,3859,4501,3873,7568,6610,735,5535,2635,9549,1870,6297
+,1850,5570,5433,9227,3013,3931,5869,2829,6579,9736,3567,7381,6398,9811,9308,5148,653,5520,6481,227
+,7438,2800,1957,1609,7186,1387,1545,539,1684,5235,9608,1066,5939,6402,1216,3863,4210,8476,8229,8924
+,6397,58,4744,4358,5531,3929,9486,2184,8643,3938,4897,3310,49,8248,3400,1874,6971,699,4678,8269
+,257,4024,1522,2308,9052,9452,6309,4044,1753,3135,7248,9832,8293,2986,3339,6021,4427,2267,6082,4783
+,4304,1345,1093,4456,4523,7517,3814,6321,4032,8905,9330,8308,8819,9864,943,6295,3968,7947,156,8401
+,6857,6748,5618,1130,6787,823,5444,152,8958,3652,9561,9725,2245,5239,9275,6894,5223,9568,2237,7140
+,6273,3078,1394,6775,2046,1812,1899,3298,4238,5838,7711,7554,3397,6610,859,8067,8396,174,5928,1638
+,4679,4163,2440,7771,1286,9442,5441,7747,3129,1657,3499,5054,2022,7282,7800,7213,4199,6450,2200,9513
+,2884,7932,6358,9316,1615,9485,5525,8444,2852,3820,1662,2454,6276,5604,3923,317,7407,6243,1499,7000
-,1984,4701,6829,1328,5953,8032,9931,6403,79,2010,4713,9434,9129,8584,9268,3348,5441,7827,9471,1300
+,1939,311,7398,6660,9268,8912,9498,4936,7902,2298,4041,6386,2234,9630,3271,7823,9945,4777,1560,5458
+,5545,5858,7017,51,9738,7786,7519,7744,1276,5198,9620,5002,5376,6693,9617,6117,9155,4006,4432,5099
+,1678,3096,743,955,3635,7868,1241,8050,9228,6487,555,4524,2399,4162,215,8110,3206,7957,454,1637
+,6978,2112,1298,5467,2293,2062,617,2325,9762,225,4541,8022,4275,6249,5153,6501,7613,8959,2988,844
+,6571,1193,4925,5218,4852,572,8453,9200,8667,8991,1362,2821,1417,9890,7089,2459,8372,33,4604,4669
+,2959,7473,6981,7164,6901,8640,5967,3230,2499,6300,589,4051,5830,93,3810,5272,7224,6432,9893,534
+,2098,3205,129,5176,6528,8661,6284,896,6031,752,6805,6387,8180,5153,8101,6940,1680,3597,1656,4858
+,7193,8706,2065,3180,6609,1832,141,8061,4927,7522,8931,612,4446,929,4532,3879,4984,8568,4789,188
+,3622,4823,9740,5934,9500,4213,2237,5185,8840,595,7400,323,1747,4966,8979,4730,5414,1991,5752,1784
+,9771,738,50,3043,1462,7943,7790,5907,7329,6186,8766,5396,1754,256,7240,3964,885,5722,3699,9525
-,6444,2851,1091,6150,6507,2683,2761,8742,1755,2334,9016,4314,327,5188,2339,2437,2799,6890,3630,8022
+,9406,9000,3515,2871,2295,8771,979,8830,8247,2327,8379,9524,293,8258,8100,269,4150,2736,3135,8123
+,8692,1238,4731,5139,7888,159,6071,5787,1516,3660,257,8779,794,1162,1701,3923,2801,1474,5415,699
+,5386,8797,9223,5861,1102,5846,3016,7861,7924,3982,2934,9414,7329,4768,6692,3420,8898,7773,2439,2751
+,3978,9714,9921,4007,4039,4128,2339,2884,814,6935,7938,2163,3068,5550,677,6501,2677,4490,3470,159
+,3541,6442,651,8294,6379,2954,7795,9484,6011,9006,9872,2289,1855,1812,981,1918,755,8777,1605,5152
+,9453,736,2560,3074,3344,1890,62,2190,7753,1045,3265,7590,4263,3622,6486,5787,9359,6311,5995,3099
+,7275,2373,3020,4830,2323,4786,6780,2866,1300,8038,8010,9999,4533,9631,9324,3473,3443,6753,9684,4333
+,3430,1214,9327,3913,4273,8564,5342,7615,8310,5815,1511,4931,2293,9494,2644,6404,6649,672,1545,5049
+,151,5372,1999,3959,9718,2251,2345,313,2232,9018,987,6024,7286,6733,3116,1572,68,7305,8685,5034
+,2894,7463,5621,5728,4156,8847,2901,4362,3313,3940,732,3648,9350,9841,8011,3223,2728,7977,9371,4507
-,6978,2112,1298,5467,2293,2062,617,2325,9762,225,4541,8022,4275,6249,5153,6501,7613,8959,2988,844
+,8656,8505,4925,9276,820,7652,4047,7105,9212,4127,605,5781,1608,7030,4008,6581,6497,7993,8356,5889
+,1690,5423,8112,2338,6895,4901,6789,6538,6692,7160,1652,3679,6297,5502,7595,3535,1743,1271,9668,5958
+,2002,4953,2386,4280,4751,8736,8174,8223,2545,8593,4090,3618,6029,5303,8699,7573,8791,377,4194,7160
+,9523,7812,2203,3218,9446,7312,9985,6597,7167,3727,4679,1313,2112,201,3438,1425,9993,2316,7096,6696
+,7728,2716,3343,4192,1629,9043,6434,9229,874,8663,2999,2907,4836,3754,8133,3295,9600,7498,4592,8537
+,3006,798,5197,9869,9496,8036,157,9182,805,7293,4647,4344,615,3066,3523,2543,830,1603,3428,9927
+,4724,9079,3420,7954,6007,265,5373,8497,9462,5201,4171,6323,3091,2763,7305,7604,6865,1706,6647,8842
+,3684,3408,3211,7284,6252,6503,6737,7273,8208,7663,8349,8862,3498,9612,1269,4485,8045,135,6456,7973
+,5056,4864,7096,8129,8212,7693,5234,3212,1132,1396,8643,8173,4264,2696,2803,5073,4149,3255,502,4948
+,222,9125,3355,9170,9562,7164,4465,2121,7265,4452,8565,465,5366,4635,2100,8742,8873,9870,4153,292
-,2706,2650,6767,9760,2405,2755,9756,1824,1836,5208,4658,2866,6280,5172,6040,2729,6241,289,3698,3265
+,9999,9473,5499,364,7350,2611,8097,2396,4700,9995,4144,347,1555,9111,6777,7259,435,4985,1992,4142
+,9485,3366,916,6333,5151,400,7079,2879,636,2302,6849,8072,3006,4548,6675,9195,6951,4518,3474,2332
+,1694,2013,7301,1315,1551,4331,3642,6933,6006,9646,6237,8312,1104,3818,6920,9880,1400,8660,1641,9839
+,8418,4744,6315,5042,8294,2868,1508,170,6788,647,6626,3805,3452,1136,8161,7474,1941,3685,3420,6851
+,7581,3762,8126,4875,6437,5799,697,4910,576,3471,944,2079,3444,4161,5080,131,3555,3679,7391,6598
+,7991,4938,7471,8580,7623,2266,9794,5772,5732,6924,7819,8821,5977,3034,7338,3896,1650,5057,716,5096
+,3958,5136,3629,4968,2445,7136,5913,8388,1057,7172,9406,6825,9364,5793,7438,6222,991,8729,9098,5738
+,1279,3433,8450,1629,1736,2423,4518,8303,2069,5071,6138,4302,1970,6105,1479,4701,1180,3942,624,4827
+,9813,7105,1094,4537,3204,4854,9859,826,3291,2539,403,5262,9383,9946,9364,2266,8735,4000,8398,4219
+,5070,4935,9693,2470,4930,4992,3733,43,1117,6907,6552,8607,3490,6106,4957,2113,3535,1709,817,4488
-,5523,5545,3927,3494,4789,2484,1215,4294,4123,454,1323,5837,3667,2618,2039,7004,7639,8240,6904,8635
+,9920,8302,9319,808,3182,3317,2981,4642,5205,2026,4451,7079,9968,8541,8053,3614,960,395,6554,4568
+,1199,2657,6722,4324,2808,1631,7540,8776,8817,6609,7632,6912,7504,5346,2341,1665,2884,4443,7363,5503
+,2338,9440,3463,7681,8463,4510,547,7617,9562,3144,6175,4690,5142,2992,2318,5700,6402,1180,740,1508
+,4247,7181,1056,7078,2724,9081,382,651,6918,2354,8956,168,8353,2018,8125,3074,8685,7959,4544,2395
+,8234,2928,3912,7885,2310,8012,7452,5381,2373,2377,4656,869,881,3363,1344,6596,9823,8306,527,3288
+,2611,2647,3685,7212,7419,8612,2811,3624,7688,5716,2149,8454,549,7941,5363,3691,1620,9542,6860,9622
+,6959,6963,9413,5989,4282,8889,86,2867,684,3817,868,3297,4410,1276,2655,9316,6997,6987,7334,4486
+,2863,9484,9787,6860,1611,3119,1174,7999,429,7346,6645,277,3398,7831,9699,4788,6909,5208,2555,9836
+,7812,5738,4103,6047,3613,8498,5804,8768,9071,4737,6542,8724,9435,2916,5668,8341,8065,2568,7676,2802
+,9463,1224,8565,7601,71,7889,3739,1017,2735,9445,3272,602,7377,3671,8824,2380,8095,9529,159,8518
-,5229,7385,498,9917,9934,2524,6205,1284,4129,344,5598,1088,3723,6356,4870,4874,7673,1325,4402,2319
+,1577,8995,2327,5040,2997,8319,4003,1756,6327,9057,1894,260,3343,63,6099,3543,9878,5170,3960,3673
+,831,6032,7318,8144,179,8380,4988,249,618,7293,8029,9690,2163,8449,8397,266,5586,2929,7739,4084
+,2354,6026,6321,5952,3986,269,4741,8064,9111,2329,8823,2745,8431,8244,6887,3911,1078,7610,146,1597
+,9909,4925,7712,7126,852,3024,9128,2612,3940,5515,918,3322,4212,8359,1322,7775,9375,5834,7269,5275
+,2799,9022,1339,8662,2136,6027,4557,2934,9746,5912,7582,8788,7523,7497,634,1543,4106,997,687,9203
+,3910,91,3023,1017,1973,3812,2916,1843,4985,2433,4836,6467,9657,1598,2146,1450,3017,6323,9273,6480
+,542,7621,4956,128,3211,2138,8017,8090,4699,7743,8992,1092,8435,2911,2045,7027,8332,3419,5415,1814
+,37,1925,4556,3634,9692,4740,645,3744,4836,6723,8913,6211,1341,3754,5933,6613,3532,6523,1870,8281
+,3580,2822,7224,8180,8782,9405,1207,4837,53,2335,2544,2766,9744,9014,9261,2566,8179,4961,612,1031
+,2059,6694,8617,3755,5971,2527,2233,7531,2437,4818,2500,8618,6673,7732,4162,2753,105,3478,4294,1276
-,3849,8511,4695,8856,3303,6003,8448,2065,7815,4822,2197,8547,42,4290,3987,2753,5009,9826,407,9297
+,6591,336,6322,2043,143,9359,4247,9845,9166,6068,3039,8257,9966,7396,9094,9266,6682,7198,5659,3897
+,7862,9933,2610,7181,4194,7348,1431,9187,1999,2768,6413,2491,3994,1373,7689,4687,6198,2789,1375,9135
+,6886,4986,3489,9721,827,2063,5310,4108,3202,6751,3624,5902,5315,1554,765,6634,4816,1767,7592,7700
+,1897,5561,7429,4685,1707,3565,484,5466,6301,3311,7415,9035,8285,1684,8092,8564,8973,120,8714,853
+,1866,3387,1066,1226,5321,4950,8870,1521,5935,9674,5165,3221,2278,6535,3038,9830,5613,2905,5199,4852
+,2039,5918,5314,2518,153,4144,3496,9777,7640,4735,893,7918,2772,338,7231,1543,9659,8455,4858,5197
+,207,5443,1384,4365,5380,5344,39,5053,6851,6429,4797,4755,45,1741,1349,4555,1105,8179,8573,1127
+,1397,546,7677,8045,824,9332,2520,7715,3365,1819,2704,9338,7346,4599,7713,5834,8916,3352,5060,1290
+,3781,1883,2628,6841,3223,972,8155,3242,2675,3893,5248,6568,9253,3533,9263,566,8857,962,9347,5845
+,7408,2326,6256,7581,7522,7364,7457,637,5162,1031,6844,6727,7015,6570,2718,5805,9225,1940,2258,631
-,2002,4953,2386,4280,4751,8736,8174,8223,2545,8593,4090,3618,6029,5303,8699,7573,8791,377,4194,7160
+,3990,5798,2617,7390,327,5408,1795,9981,7966,7549,2041,8337,3434,6689,482,3139,8480,4299,6866,2415
+,1055,1329,9895,8612,8347,7809,3636,4358,3507,7389,5485,4192,1872,7906,4737,1941,7158,3049,9110,1373
+,644,5569,7622,429,1062,4818,861,5395,7003,9827,2416,3160,4504,9734,7676,7586,9248,8869,5851,144
+,6196,6644,8600,7856,3820,9545,5639,6938,6419,4507,6223,6886,9355,9724,8004,9973,4095,2667,5027,8654
+,8195,4930,1488,3514,7337,3871,8959,4499,9060,9544,4137,8580,872,3179,693,4301,2037,937,83,4827
+,2704,9208,690,7,953,7578,6595,6083,2575,1506,7553,9138,1939,5684,759,8460,49,4595,4677,9585
+,1047,9794,1812,9752,1957,397,8968,8486,1976,9267,7268,4817,3727,2049,1885,4301,9414,5218,2111,9240
+,9046,3204,7741,2236,130,4154,6771,3710,2903,1252,8773,5851,2379,4964,7769,2328,1907,1227,2978,5255
+,7916,419,5600,5224,1277,9365,9073,407,5884,281,1989,798,4379,975,7516,2588,7249,7833,5195,6036
+,2081,3615,5757,4411,3012,7551,8161,418,3936,7304,7919,2055,2021,875,3877,2078,4040,8243,8288,4044
-,1047,9794,1812,9752,1957,397,8968,8486,1976,9267,7268,4817,3727,2049,1885,4301,9414,5218,2111,9240
+,4504,10,9297,4521,1867,3110,7678,886,4881,3053,3547,3956,8471,5746,1159,7801,7936,4561,5136,9279
+,4585,2046,2644,1704,2079,163,3338,18,956,5850,5861,9500,8945,6490,1381,1750,8347,1662,3880,6323
+,9512,2841,4032,8260,6453,566,7218,7242,9441,3140,457,8646,2098,9985,7145,7732,7956,8564,1510,2364
+,692,1273,5970,4838,946,3611,2617,5456,2399,8037,548,516,343,9876,7767,1669,4908,1303,5387,2837
+,5920,5472,7470,3935,7232,6210,5522,6590,7834,4413,367,1066,779,227,6068,1065,7050,1369,3685,5723
+,5726,2313,4548,1008,3817,4723,3433,2851,3982,6316,8885,1113,5987,164,9288,852,7394,1718,7482,6881
+,9891,2970,5966,7929,2094,6933,6736,752,2018,8003,1177,4065,6030,816,252,6075,7936,2126,9026,9861
+,5909,1642,5574,7978,2420,1015,5314,2778,5900,1847,7090,7810,2523,4239,8377,8030,9407,8756,6117,3648
+,1515,9203,2368,394,2417,8603,1188,742,1761,6055,1424,901,7499,4957,5130,4900,9885,9698,1093,1812
+,524,8785,8305,5529,235,736,2699,3902,34,5666,8348,6186,6932,3142,7149,386,3122,8139,1995,3748
-,7914,6785,2975,8421,8566,7778,206,1321,1246,3569,6151,5541,5745,2462,1474,3571,9956,7194,637,7427
+,7815,4726,4852,3595,6114,7682,136,8899,2165,9986,1763,8756,1971,3359,9029,7643,2028,6629,9702,6475
+,9410,7647,1652,4728,666,7848,55,5932,4961,8880,625,9027,7691,4495,9695,3990,1799,6870,5047,1731
+,6220,8261,7162,4243,865,5987,2409,8917,4195,3355,2515,4608,6163,5187,8267,9379,9258,9907,6572,3490
+,5038,247,1982,4731,8813,4517,6078,376,8199,3481,5801,6980,2693,2452,5418,1245,2672,8861,1607,5027
+,9002,8111,5486,1144,1634,1076,655,7880,3687,8046,8412,7858,6464,9400,5094,4623,3632,1951,2434,6309
+,5834,7469,8465,4268,8320,4857,7983,2037,8186,3325,9942,3593,2618,2331,5178,3669,9405,6771,9221,8268
+,7336,8575,1605,4412,4266,8180,5131,1,2697,3354,2683,8539,5480,9499,2688,3493,4962,9468,5762,9213
+,7189,2062,72,3817,3454,9767,550,7024,1049,9529,8971,7497,9982,9141,9702,7338,7455,8818,5455,9411
+,9482,7522,725,7628,5202,1581,4253,5920,2352,6475,6927,3467,7095,7,7826,6529,5470,1725,8841,1049
+,8114,7041,9948,939,736,8753,7856,9360,8058,2440,3169,9524,1941,1392,4897,204,8447,1966,698,4301
-,6815,6345,3445,9823,5116,9015,4362,4477,9947,4088,7069,5555,202,1315,6299,4002,5566,2325,3205,6919
+,3458,9189,2390,2528,9001,4557,1434,4845,6068,3173,715,1868,551,1978,1446,7188,4008,6296,547,5241
+,3989,3035,1510,2148,1450,1660,2072,4461,580,2632,2257,7585,3967,2540,7528,1550,5132,2368,2019,3010
+,2261,7615,9477,4857,2761,8817,7630,664,728,8956,5392,8665,6168,8463,1380,4384,1336,7386,2510,9493
+,6700,1320,2385,6805,437,2410,6805,9821,7494,1261,6841,3040,8919,731,7193,2150,6678,2308,7365,7840
+,6718,1291,6051,2383,8744,2647,8932,1422,7138,7802,676,7203,5776,1442,572,1124,7609,7628,6875,5978
+,7549,9561,5892,6165,5855,5898,738,981,9349,1494,3749,5114,4172,5688,4899,2566,3792,6121,7478,8407
+,1215,5660,6455,5874,9932,701,6647,4961,9175,6416,1716,6454,1508,7273,5778,9880,1783,1695,4066,2108
+,5784,6480,38,8812,4034,8259,7883,7117,3244,8804,2689,305,1812,7822,7647,8097,9973,6824,2029,7811
+,2274,3599,4000,1555,1277,395,6606,1368,1870,4495,9167,7033,1160,9901,4432,6219,853,8289,9734,2320
+,6587,3865,1725,8945,5888,6269,6808,7722,6516,6110,97,2242,5829,6188,4517,6907,1844,1612,4271,8990
-,3731,6827,4246,2583,9959,7650,5430,4735,6933,9549,3088,5822,638,5108,6659,2810,9788,5997,5287,3066
+,9847,3205,9761,2080,4396,7644,9817,9556,9100,2972,5545,4302,243,1181,9944,9229,1281,5618,7212,9359
+,6974,311,181,2978,3332,4988,4009,5882,9125,7484,2189,3080,9118,2729,895,4346,1340,8220,7453,6617
+,800,5503,3720,5764,9943,4126,1911,2398,9779,1228,2512,4414,9441,9743,745,2615,8537,1307,2951,9271
+,1799,658,6622,8187,6030,5663,4936,8465,8282,7541,8621,1938,8238,8781,4133,9847,4053,8359,8680,9577
+,7208,6543,8226,7351,5424,8937,9297,6841,2234,4437,954,9886,8744,6503,5779,4428,5770,165,1900,661
+,4798,5041,6190,67,9387,2988,6012,4534,9598,5753,4491,6583,5080,8591,318,2554,7910,9217,3841,8458
+,2793,319,7725,9903,2483,4270,8113,8322,3614,5633,2755,3034,4154,3417,1473,7271,4057,1360,6391,3616
+,7773,9261,4427,4921,1705,3698,7768,2275,107,2230,1417,1311,1012,8119,462,317,5077,2291,8490,3084
+,6420,3808,4096,1956,5321,6078,9810,5496,2741,8451,7514,4323,3350,2636,7754,84,6703,7425,5550,605
+,7543,2186,4405,1705,8,4411,581,7519,6838,8147,9368,9496,1146,848,9518,4429,1598,2496,1982,9458
-,1598,1264,1078,2858,8867,9609,1896,9657,5404,3170,9659,5187,7682,918,8440,2721,5619,7790,8168,5679
+,8355,652,657,4688,2422,7204,5114,9622,3860,5879,1461,3243,3976,7467,1985,6964,5561,4882,4308,8141
+,5119,4895,8096,6963,3236,4709,2677,657,6517,3258,4109,754,3978,9090,1658,6215,4951,7650,9847,5714
+,3973,7794,973,201,426,4372,1350,6912,9803,9368,1138,8846,2871,3089,7950,5487,9589,1655,5042,2264
+,4142,6163,369,5548,8024,2877,5835,601,3270,2899,6685,7869,6160,8582,2030,1927,3692,4702,6198,9479
+,1836,1241,4362,4718,756,532,8685,5527,9021,1196,7465,6875,1680,3400,965,5564,8445,4555,3582,361
+,6213,2860,1797,5550,8148,2505,2364,9585,6177,4908,8131,4548,6833,7309,8009,2578,6736,8894,6168,8090
+,8354,5777,4675,4609,1226,3985,9586,3605,6789,2979,2077,8086,5591,4904,1510,3271,4058,1595,329,9282
+,6474,171,568,4194,6038,9779,2251,5187,8123,5011,4855,4555,4070,3463,5202,6685,4848,5313,7945,2238
+,558,8891,441,6458,8276,8451,309,5295,5264,929,7744,230,627,8898,1071,595,3215,7985,3438,4900
+,775,870,1012,6039,8088,5863,3577,4333,8277,4,3657,7419,1931,3631,4200,6719,2959,641,7180,2892
-,5998,753,8795,3714,290,7748,5223,3735,7625,1029,862,6472,4468,3396,6672,2518,4788,2130,1610,8165
+,1041,5203,9861,5917,1223,6566,2059,4351,8606,58,6107,2721,388,5743,2819,3047,9127,7490,854,9886
+,7770,5815,1066,8505,5246,1668,7940,3937,9817,1638,3940,766,1001,5074,3177,2359,9723,6410,5883,1056
+,9307,5729,3906,9825,5531,1287,3232,5800,1810,1292,5033,6172,6711,2696,863,594,992,9622,6889,9250
+,5940,3701,7374,9364,5190,4927,4662,492,1676,690,3682,3397,3927,5086,7655,7549,3143,2533,3327,1776
+,3809,9385,6972,689,6435,639,3004,4403,5210,8261,3746,8110,7799,3640,6571,6269,1665,6591,8248,8217
+,4840,1296,3105,184,204,9718,6867,5215,471,5079,5293,2872,7273,2633,500,7985,4973,3652,3728,293
+,6202,4751,1935,1852,3025,7002,7310,1244,9219,5403,5998,1666,617,6863,7921,3640,5759,5486,2330,9928
+,6141,9568,6283,9491,5794,4856,7683,9867,8047,435,8404,8418,8701,5351,269,5681,372,2859,606,207
+,441,2927,4966,6881,1215,7610,9873,9324,6768,7826,1803,1936,7029,7155,8145,2226,1752,5508,5119,6038
+,6566,2832,8461,9485,58,2520,7686,2850,6217,4792,4801,7949,2279,5883,3757,4894,5138,9020,1468,6452
-,8401,7595,3737,9437,68,4934,2,5625,1838,627,8497,6260,6786,5024,5785,9459,7621,1716,8639,4346
+,2463,5949,4270,4682,1155,6823,7944,9190,8484,8376,6903,3863,7231,9890,2160,9673,6247,9611,1158,7050
+,7363,6260,4562,653,7025,7927,709,8527,7443,381,4181,5329,1791,3521,4906,2377,3723,7255,7607,7022
+,8679,9331,2149,1275,9421,1586,4165,3613,1942,6519,3301,1782,2444,2337,1146,8132,5025,3771,4825,9910
+,5315,3740,1730,7974,33,8227,5880,4257,2588,8510,7325,7286,9667,1391,6113,2759,4830,1979,7394,7524
+,6834,5527,9546,6455,5088,8960,3385,167,6883,1313,1473,1816,1144,8615,6876,1431,9871,1019,4185,2682
+,3047,3510,124,7334,1880,665,2950,8278,6896,8174,8992,9210,4714,2401,4025,2793,4152,5349,4,7831
