OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,3427,11058,10860,12564,11041,10452,1893,647,13662,7586,4135,8667,12193,10029,2664
-,11435,6662,834,4104,740,7306,6351,12648,9702,6377,8717,12933,10752,5167,14660
+,10576,5593,14504,12125,73,2681,13141,5802,5680,783,3844,8440,11868,12322,11762
+,12518,662,1100,11526,2906,2744,568,1829,8953,3937,1798,7655,8137,8806,10461
-,5840,654,9582,7361,11551,8002,6836,475,12631,4467,2460,1719,8278,10708,11511
+,10158,5072,10311,301,14926,3741,3665,6716,8685,12216,5061,2841,8298,14923,3381
+,13388,1364,12028,3846,7291,1691,11061,4926,6116,12908,12544,7997,13810,69,4912
-,7932,12174,13387,12027,7177,9164,5291,9922,12809,7269,10639,4734,9911,11767,7008
+,2928,10304,14103,3977,4421,4632,6039,14460,3543,9703,9446,10111,3261,5535,9239
+,14403,14469,12261,11952,72,10965,4502,11675,13843,7744,5935,8847,13050,5622,1757
-,2148,8443,3765,9044,9097,697,10597,14045,7750,3067,13819,6408,11512,1067,11680
+,2758,5675,7146,13992,12792,1615,5864,3455,4322,8459,14929,4120,181,14696,36
+,5568,8291,2839,1566,4488,12365,4262,11456,7208,3399,7667,2746,14036,1985,12076
-,14635,3788,803,1521,13343,4769,10444,9488,13588,14704,13977,7264,339,904,11744
+,12676,1370,2518,6984,9596,10438,13135,7165,7033,10191,1835,5627,10908,6463,6743
+,4215,4315,13636,9136,943,8934,4846,4095,2178,11943,6156,11292,3533,8720,7611
-,13994,5643,2058,10941,731,8772,7936,4095,10110,74,1971,7469,8000,2948,5020
+,4225,7551,544,6309,14591,5497,7189,8781,14994,11996,7313,9489,9307,7324,10792
+,986,12253,9912,5203,12378,1409,11813,8294,9413,3770,6321,6449,5025,5703,11951
-,12021,9967,4673,14559,4264,856,1343,6274,1173,8565,3557,3565,13437,3338,1783
+,3742,8070,901,12092,5504,9151,12590,14312,11466,12606,10335,1873,5397,9598,8678
+,8649,14822,14385,5934,3435,9670,12340,11182,13109,12492,12803,13248,204,3758,10105
-,6089,7803,6443,9567,9461,9112,1979,4688,11369,4366,4282,10817,5683,7847,12957
+,11958,10444,13864,12847,13187,5284,2107,1233,10660,10938,4265,13592,11140,6071,2044
+,719,8377,13018,11758,8344,8961,12594,3115,6946,14948,6407,12419,10393,9807,4232
-,12373,9067,4974,14130,10515,9059,7572,273,14777,13182,13574,3798,9731,7890,4466
+,8651,8695,10492,14424,6450,8343,5282,3995,241,11740,13556,2309,9131,1556,6705
+,9404,9895,945,5707,6231,11172,306,5460,9283,10888,14721,1180,110,14726,7901
-,7425,10181,887,3323,6165,10675,8288,13916,9928,8481,9526,3451,14892,668,10212
+,13972,14032,10701,8329,11437,3404,12606,4857,6329,6004,14184,1475,5867,4826,9149
+,11327,7604,458,5961,2643,13838,1283,3674,3960,8068,13177,4461,5825,7452,10997
-,2000,14163,9556,3846,12047,1389,13847,2834,13562,1984,1491,13769,3756,6454,14226
+,8802,2451,5190,14080,1621,3251,13303,11574,5848,14787,988,7836,8373,4636,8682
+,13864,8927,14066,4541,3982,5633,7575,1469,1158,7861,2864,3857,2612,6271,12752
-,7307,10707,3678,5881,1717,14250,278,11175,1133,4947,9930,10466,3145,4762,4776
+,6337,3673,14001,10976,2059,5882,11363,5368,4208,12386,14293,3594,11380,1778,138
+,854,12602,6281,9704,9076,1988,7324,3074,5509,4168,2492,4228,12659,388,3392
-,8234,10255,9553,10018,11894,9492,9691,8670,12260,12512,6796,11921,1037,8426,12840
+,7526,6224,13310,7048,13984,14943,1710,1808,13808,11580,7876,14900,9945,12100,14603
+,1049,4134,4748,4460,9742,12665,7540,7154,4929,5192,9256,10998,14240,7771,10595
-,7300,12841,5835,4825,3202,1297,4199,13474,10532,4329,14745,4936,12710,6356,2607
+,5910,1682,14295,8296,5131,3083,12022,10045,7127,2536,2784,4503,1912,1567,1860
+,1721,4065,5804,2468,7999,10991,6104,7082,12898,1407,2036,872,333,10638,6098
-,1657,7457,9786,14354,1448,6374,1770,13829,967,6448,8421,3031,14410,12507,12612
+,9198,475,9117,9944,7602,12602,10714,10135,4254,6226,1851,10283,14264,436,2584
+,1762,11923,5820,2633,7373,10565,12639,4820,14240,2020,11389,8284,4258,6459,3065
-,12567,7854,9050,12489,14877,9697,11688,11400,754,14214,7925,5668,5363,5831,8551
+,10618,2213,7212,2143,623,13077,79,13300,2848,18,1347,11811,10823,11281,789
+,14609,327,5755,3502,4264,2532,11821,6680,3149,13303,7219,4987,8467,7423,1453
-,7816,5002,8646,3161,14363,14332,6005,6693,9791,4885,10699,3365,14446,13566,683
+,1007,12053,6016,5122,2474,3884,11200,4666,5628,14357,12722,11321,4172,132,4088
+,8879,12256,6817,5010,2889,4679,4555,7380,6936,7543,11773,10002,7057,13110,1969
-,13270,12454,11041,4777,4262,2444,10084,3706,10415,2306,10841,14999,6965,3667,10034
+,12640,10499,1258,11927,6147,7799,11817,1119,1718,5142,1258,2749,4118,3742,14291
+,8314,13862,1264,13416,11723,10531,6225,1612,2337,9250,9832,4183,11993,14958,4084
-,12762,11842,14236,14293,11685,12594,13331,14221,4982,917,9217,6899,13758,3259,5403
+,3280,13064,12820,5396,2951,7810,834,12007,13249,7184,1422,13442,9788,12912,3596
+,9641,9946,13836,5685,690,13776,6174,527,212,5165,267,4068,6208,10842,439
-,11327,7604,458,5961,2643,13838,1283,3674,3960,8068,13177,4461,5825,7452,10997
+,1127,962,14387,14636,2837,7243,6648,14578,6968,5583,4508,3835,2447,6873,3720
+,975,3740,2471,4890,6835,13632,7443,5231,3475,13011,8545,12716,5442,7634,8406
-,12091,1769,6951,10232,1003,8383,8086,1263,5079,13891,5351,6617,7661,12390,10950
+,11634,6275,12984,12528,2468,6484,3558,1035,2839,11145,14117,2553,12119,6343,13945
+,3600,4476,2503,10135,607,9516,9422,5409,14578,11324,3412,10191,1791,11546,8414
-,8239,7800,14089,3206,1058,6879,9450,7164,13910,12065,7758,10346,11820,4746,11696
+,12481,2367,11770,7241,14626,8624,14830,7795,7459,2793,12035,14441,1751,13687,806
+,9770,1573,14584,5429,7390,10290,3800,800,3049,7779,7982,443,4489,10514,9043
-,11053,13369,7210,13320,3137,4571,8590,13496,10031,7330,5488,1535,12870,8429,8998
+,14402,10523,7605,1177,7031,8142,4690,11923,2315,2996,7943,9056,14923,1915,5276
+,6759,12602,4528,6466,14608,4857,141,3508,405,9455,1911,5771,10317,1923,6358
-,5006,4777,13343,14202,8554,3608,14234,6829,13472,4421,12926,13783,6421,10595,3896
+,865,4184,5431,6797,3024,13248,2601,3772,4753,13349,13745,6758,9913,189,10660
+,9317,7567,1955,7638,8792,6340,10893,7432,8602,4814,9829,4496,1219,287,9819
-,9668,12860,4999,8110,10644,5826,12687,3639,11511,10384,14007,13006,12261,5509,2868
+,795,12379,5479,2428,10301,1527,11492,9043,10448,7314,9320,13206,7997,7236,9288
+,4865,8447,4534,4750,4768,7250,13108,4776,6401,7331,4278,29,7311,6692,3387
-,322,11822,2414,14904,9675,11980,13519,2335,4166,4908,7327,6820,14833,4632,4502
+,9143,11958,9807,804,10554,4726,10327,407,3443,649,10297,13799,2033,6897,5093
+,7894,6417,10916,1690,12719,8114,7385,3765,5656,10842,9278,11734,11812,3871,3448
-,14235,14026,3955,6916,129,5891,2561,10005,8519,12552,5908,4617,11090,7970,13402
+,12417,3935,7289,3723,11883,8159,5466,3250,6921,2013,13455,12882,7282,2598,11484
+,2826,6822,6951,9275,14154,11110,9931,12634,5668,13217,320,581,5832,302,6506
-,5920,13554,4140,5260,14104,8022,9026,9689,8712,7123,2179,6919,13034,8830,1745
+,7176,13869,4610,1158,2839,43,14374,11321,162,9887,4959,9765,9912,1308,1574
+,7398,4035,269,12440,12785,4987,2396,11093,4397,14315,3441,2537,6124,1939,4757
-,4159,11500,9627,13977,8405,3326,10684,881,9597,10259,13283,5489,10951,3839,13692
+,6027,351,2785,6618,263,1725,3837,6910,13151,5496,13951,345,7319,12250,13051
+,1230,12918,6252,14921,307,5317,5070,1363,14009,5607,6107,1970,12245,11041,7222
-,12748,8117,14975,11418,5651,433,803,1970,1029,7644,7245,14048,2437,8811,1187
+,9901,6475,14223,13352,5480,12175,5328,12110,4605,11106,5998,3233,13096,14777,7262
+,4206,7935,945,14981,5123,14179,7675,3270,1360,3448,11374,13615,5136,1268,7602
-,719,8377,13018,11758,8344,8961,12594,3115,6946,14948,6407,12419,10393,9807,4232
+,9903,4889,6713,308,11216,2539,11393,1859,2717,8177,7128,6030,3042,1293,10574
+,10425,1501,6508,7040,14904,5684,14809,8190,3243,14176,13358,9194,6421,2007,8355
-,8628,1707,7256,12679,13702,14217,9240,10515,10284,7171,10333,7912,10010,1982,10284
+,14868,11827,5368,14432,1873,9925,1893,7488,10783,14943,1731,3746,5838,9276,13756
+,14101,1612,4083,11401,3022,10970,2183,10256,2210,13958,2327,1449,2227,8213,9768
-,4528,2581,319,6554,6043,8702,8336,9576,2635,3582,14208,13655,11347,12167,10678
+,9582,5393,410,7728,12051,2819,8127,662,1162,13207,1945,325,368,3628,3377
+,12539,10333,4282,761,6566,11238,14927,8147,9663,2946,3827,3809,6600,9661,2207
-,6956,7465,7121,4139,10176,4731,12781,11070,5341,14349,3388,12790,9286,1748,12959
+,7401,4929,13923,12847,6931,1368,2378,1034,12805,14743,10970,6121,6772,9418,7056
+,12870,1445,3115,10593,9854,1274,7689,219,9007,4911,4534,11399,8882,5223,8673
-,3593,4738,7554,3749,8596,3611,12807,8725,6297,12315,13405,10704,12710,4332,4685
+,7208,10517,573,495,1236,4481,9050,2574,3559,3410,14048,5820,11368,1319,6257
+,7267,10714,73,6875,126,10,14426,7775,6339,12425,1774,4208,14864,1883,12953
-,13640,12839,12504,2663,4215,2027,2399,1771,11612,13228,2499,6382,7658,3571,8051
+,12691,12140,827,1049,12361,11212,12691,9191,10531,4787,10398,9715,8339,12540,8028
+,14410,14132,10660,5860,3201,7106,12995,104,5701,12464,1287,7264,8189,11830,3357
-,1023,12209,7335,2271,513,2080,9494,8075,11121,14341,4150,3350,502,5641,2598
+,1715,3053,6323,683,11823,4410,8984,13925,1781,2664,6220,8988,8793,12925,7950
+,13373,9058,10164,13603,10848,4858,10056,9925,7634,12231,3977,11497,8163,5620,5530
-,5776,11075,8563,14393,7479,13578,11434,569,13848,110,12292,2357,12615,4339,834
+,1632,14858,3044,2519,2748,5032,9917,1528,11117,2760,7548,12400,4077,380,2342
+,4969,12603,14599,9517,1907,11560,2375,4737,9754,13858,12739,1402,7792,12363,4648
-,14250,13686,9334,7799,5175,10373,3360,6141,11985,9935,5372,3304,3322,12507,6489
+,14943,6368,2067,9152,12247,10067,6848,14065,8019,8291,9285,14596,1597,2861,10384
+,352,9906,1665,2790,1048,2787,3699,1680,12652,13158,5096,6817,4363,12336,13431
-,8183,1384,2894,9137,9290,3636,12554,4756,2236,11375,9639,10678,9025,2068,1483
+,1639,10308,13716,12803,9447,11981,3364,14352,11231,6632,7028,10323,2491,9660,13383
+,10817,7964,11318,8518,8419,5401,8049,429,3750,1962,9315,12237,11986,13675,4419
-,9375,10611,7799,3197,9254,4498,10366,14383,4975,7400,8355,1620,3522,8015,909
+,6270,2705,5701,10197,10315,821,9609,5761,6485,7347,4694,1486,10283,3943,1837
+,3592,6513,12919,6742,3112,2231,14654,3674,6883,8709,5757,679,12041,7362,9170
-,14699,5081,4828,8198,1595,9928,10575,10829,2200,480,3939,8314,8543,13384,12088
+,6684,1883,2012,13310,8943,7727,10759,7227,4886,2456,4972,5608,12094,5368,9395
+,6286,5413,771,9373,1245,5274,6806,11022,3209,5581,13832,14036,10015,10782,12267
-,3664,12415,1816,13165,13083,62,6112,7059,10918,13673,1365,14440,10349,2454,13501
+,14910,10290,3304,357,10041,6232,11576,14615,6738,2139,672,7516,8716,225,9296
+,9932,6567,6827,10537,6547,2102,8236,5802,1349,5497,11745,3128,9474,14040,4944
-,12475,1901,10538,11987,4714,3344,6996,1007,4667,13280,12063,5857,12220,11831,10854
+,804,7701,3739,2500,7983,7109,9579,13099,8525,14004,3607,5608,4772,4751,7672
+,12106,12835,3148,752,9414,10561,14816,2169,6750,5819,2630,13858,2566,12839,14312
-,1128,13234,2361,4182,690,3017,14260,12913,1348,14964,14701,1937,12985,769,11611
+,3611,5362,12847,3663,8854,14475,2244,14384,8939,12542,3745,13140,13652,14036,5213
+,721,8036,11757,4642,8416,3,2459,5337,14819,14082,2830,5841,4596,1250,3486
-,6653,5503,4101,12591,9113,2315,2099,13566,6024,1833,1563,6333,1525,12462,7920
+,8334,6423,7637,574,8333,5243,612,10227,2750,921,3706,11347,1994,4748,4537
+,11035,684,3336,1372,11864,6083,3637,9942,11341,5692,5854,12476,4426,5092,10043
-,12870,1445,3115,10593,9854,1274,7689,219,9007,4911,4534,11399,8882,5223,8673
+,11016,7290,5305,3894,13002,10708,13272,494,14711,13507,12816,4667,8740,3212,2483
+,14096,4602,8288,7422,12376,10151,6597,11010,13237,10382,1615,10058,12067,4117,1769
-,8879,12256,6817,5010,2889,4679,4555,7380,6936,7543,11773,10002,7057,13110,1969
+,4548,14269,1814,14933,1460,10146,8956,11337,2852,14615,3612,6016,3164,13265,4500
+,732,5932,12160,3293,11491,13313,9139,6896,4540,9170,12453,506,5667,4697,1710
-,10099,8278,9060,1316,872,5966,7042,9959,14659,9164,2402,2973,12630,12736,9619
+,3103,12960,3606,2375,2905,12826,7297,9461,14405,2778,4938,7888,12143,6948,9336
+,7238,3768,9896,4263,4445,5679,14944,7500,12561,773,1859,4195,6706,6968,7606
-,4475,9265,10676,6356,1327,8059,3708,7960,13520,1904,3762,786,698,13267,9014
+,10649,10467,8711,356,13670,8083,4258,1567,11820,10785,5651,1240,5577,10758,14448
+,218,11222,4662,6820,2342,2949,14065,5813,13980,692,9573,13333,1004,14557,1248
-,9378,11458,12478,468,8283,4259,7878,12495,4442,14266,12900,5756,2738,4806,11819
+,3246,12104,14268,14926,12932,9376,6596,7444,12350,8284,13434,7986,11536,475,11960
+,9659,10793,13586,13880,14481,1105,3744,8492,1586,13761,8580,4912,3078,9523,978
-,8334,6423,7637,574,8333,5243,612,10227,2750,921,3706,11347,1994,4748,4537
+,12119,6474,11207,924,14872,12118,4354,12845,5534,10284,4123,2438,7266,14156,735
+,10797,6654,3988,11808,4448,10751,11957,14827,9647,7449,13222,5096,9290,7943,4944
-,13922,13877,4459,12946,8599,12049,4479,4038,933,7254,6886,5116,4279,10677,1219
+,14521,14294,2595,10765,10842,8805,7580,6251,11075,6581,8486,8208,1880,13260,3651
+,11455,4242,11030,5971,8974,6919,12456,6517,3313,7367,4172,10064,10796,8293,13995
-,2180,3770,13416,9646,5963,6274,3807,9365,5976,8794,10445,12484,9943,7436,8810
+,4387,11145,3501,2028,250,1836,2218,2252,763,8338,12729,14898,6156,5536,7023
+,7225,558,14149,8425,13864,4978,13444,1045,12756,12372,3072,2453,10180,10072,12225
-,9901,6475,14223,13352,5480,12175,5328,12110,4605,11106,5998,3233,13096,14777,7262
+,14460,1925,7701,7677,9460,13094,2977,14789,9670,14282,10527,6784,12355,5178,9169
+,12469,2612,4808,2534,3627,14811,762,5380,1589,13153,12447,1418,114,14499,1208
-,10180,7189,2285,7560,741,13440,6007,12171,152,4417,8388,6296,185,8193,10066
+,7449,6159,1384,8413,6548,8218,13910,14802,12183,9043,3729,3137,38,8780,6144
+,769,8178,4912,7230,4671,7514,10397,6589,6287,1161,6981,847,8725,1328,9278
-,4861,831,13713,11764,6595,1971,13136,14903,7390,12380,4691,3441,1505,12151,3774
+,1002,10922,10482,13181,6556,9656,4556,6807,9380,6003,1792,6557,10687,7846,11450
+,11203,14999,3118,2432,2913,1872,10375,8237,8764,8033,3736,4872,8211,6200,10276
-,990,3117,12376,5405,7863,9433,11172,12094,3184,5344,4391,4798,9014,760,13186
+,8393,3444,4077,12690,7900,1234,8355,13589,7522,10322,6423,235,7239,3955,6868
+,6545,13226,7664,7594,13108,11529,14742,13267,619,6959,1923,5858,8286,535,11729
-,3212,6919,14585,8074,11324,10766,7147,3933,9065,5932,9795,5578,6763,12739,8708
+,4840,4210,11928,11508,5562,9039,11636,9167,7806,2169,10721,14509,10237,11101,11619
+,5346,13739,5302,9044,8761,5794,9564,9697,28,14628,12295,8991,613,4973,6080
-,9143,11958,9807,804,10554,4726,10327,407,3443,649,10297,13799,2033,6897,5093
+,4659,7293,2692,4180,13102,1728,10038,3873,7555,10281,14191,13722,6128,7334,14851
+,2486,131,855,1250,1139,11136,11458,2597,8262,1496,237,4938,9819,10444,4893
-,13864,8927,14066,4541,3982,5633,7575,1469,1158,7861,2864,3857,2612,6271,12752
+,12781,7307,2367,14639,7790,5396,14898,8928,1134,8283,9735,12861,12489,14399,11053
+,10485,10319,8512,6708,271,7605,5160,6818,988,4948,14759,7289,6368,10720,7405
-,2372,10785,4013,8571,6090,14215,10701,11148,5518,9368,14244,8593,14587,5729,11724
+,3428,1987,5647,11388,7503,6134,2866,9858,4456,1233,14372,13906,11324,12765,3800
+,1955,230,6790,11153,2057,3021,11025,5122,10908,8187,3717,4067,1462,2492,4428
-,376,6629,6411,7086,9600,3873,11982,430,383,9012,1842,7975,4675,1542,13031
+,319,12502,3382,5768,5292,12201,8419,7028,13481,4765,11879,7144,11373,149,6374
+,11006,12876,9901,10774,3003,4833,9919,2374,8127,12239,12002,3997,2998,6769,2480
-,9317,7567,1955,7638,8792,6340,10893,7432,8602,4814,9829,4496,1219,287,9819
+,2255,12138,1187,13722,6751,7363,7208,13324,8233,11675,5533,9530,13573,2007,7759
+,4981,6596,3490,3795,10205,13154,3107,2987,14728,4103,4755,4514,8973,12587,10517
-,10425,1501,6508,7040,14904,5684,14809,8190,3243,14176,13358,9194,6421,2007,8355
+,2771,13390,6628,7587,6925,2897,13700,7107,12603,12676,1144,5626,1119,8663,13315
+,1115,3711,8863,4566,30,81,7292,4351,11116,14534,14569,14183,4046,1614,8268
-,1803,5632,10152,4784,1993,11107,11097,10816,1828,1735,11120,13506,4579,2810,8203
+,1482,11163,1877,14265,7849,8462,256,944,12701,11104,8761,2155,11828,9292,6694
+,9692,3844,7008,1708,10716,12913,583,10202,12971,11348,5567,6716,1785,14247,5278
-,8994,11942,7232,11554,351,9055,12422,12672,1834,3561,2169,5201,14414,2969,7992
+,3476,3666,8892,3648,13933,2579,1019,4670,1229,3566,2566,8925,2878,2685,6803
+,1407,9395,7149,1585,10849,7884,14375,10063,13796,14832,10437,5894,3984,2610,9300
-,10817,7964,11318,8518,8419,5401,8049,429,3750,1962,9315,12237,11986,13675,4419
+,8793,8332,7397,5543,4151,11900,14336,7157,6236,9934,3611,5207,2882,5605,7583
+,261,12582,14513,6474,8075,14657,12222,4181,5882,13580,7232,4140,2319,13621,13494
-,11461,7197,4914,6543,8846,14944,4683,943,8783,3710,14552,925,10291,1150,1320
+,7083,817,3580,12915,7736,14970,12438,6649,14055,7659,14863,4503,8428,2509,13366
+,11994,12886,14052,7642,4452,1093,4728,13449,906,10428,5863,4868,4495,9537,7732
-,6548,9626,14561,260,12583,2888,14273,11224,12641,11570,5877,1102,11962,14476,4185
+,6680,9722,6624,2928,7386,139,9553,8133,7817,4115,11997,1141,6345,2363,2675
+,12872,8987,5117,9481,7566,4300,9982,11240,8287,5781,12868,12650,13344,7044,13633
-,14389,13862,4019,12447,2565,5055,3393,7203,13576,12522,3945,5056,15,5608,3257
+,2679,5737,10500,2044,7857,11319,5192,6272,9956,8479,6300,5170,442,5289,14046
+,8401,5617,930,6552,3209,6038,732,6336,136,1892,7501,4752,7667,9472,12012
-,9932,6567,6827,10537,6547,2102,8236,5802,1349,5497,11745,3128,9474,14040,4944
+,12824,7035,13810,13673,9073,5678,9890,10814,6042,9558,10428,4892,8040,1153,13481
+,5205,2183,127,13387,4078,13450,1582,9686,5980,14762,9110,4829,5690,10889,12754
-,10063,5997,3395,1870,3477,10580,11063,378,12654,3369,12977,9152,8858,14879,1773
+,1084,14136,4952,5882,14122,3529,4808,10492,8591,4975,7117,13185,2462,1192,6995
+,9991,84,9565,6537,2715,7565,13222,11138,8315,14664,13105,12123,697,6276,8224
-,319,12502,3382,5768,5292,12201,8419,7028,13481,4765,11879,7144,11373,149,6374
+,13202,12377,4473,7529,6859,12130,14454,14418,9876,12123,11116,811,11828,6798,5791
+,2374,14757,3738,2580,6931,4434,9125,6630,13367,7351,5383,11632,10214,870,9484
-,3583,6838,6754,11485,14779,2693,12620,4513,5510,7684,12519,3826,6915,1969,14635
+,3630,9754,3830,14761,13543,7135,11853,2721,13164,14249,14500,2516,12775,11640,8374
+,11818,10453,5279,13720,14630,6582,5474,12227,13469,14833,1450,158,10974,14305,12822
-,6772,8843,12963,10799,4084,3201,9700,14247,5400,6883,12573,7992,1074,6843,11211
+,2760,3269,5717,3765,7176,12549,12803,2697,13187,8936,10502,9225,14325,5206,3295
+,221,12660,13606,9041,4157,7093,12229,9093,1177,10061,5594,9277,5793,246,8244
-,12470,6733,14887,5036,14940,4163,10100,13064,3387,2161,12480,5493,703,11546,5003
+,13564,8360,4619,12545,7715,7729,8928,14487,10819,3995,3939,13651,11067,5327,11038
+,12224,6919,14796,2862,8485,11314,9921,10620,3097,6359,3674,4194,3614,8000,6145
-,11989,895,3901,2610,5783,12021,12818,11376,8236,9171,1422,12083,2688,517,12250
+,1025,4911,954,9832,13941,3008,1661,2080,8535,12839,3116,6140,11189,1075,12751
+,7055,5499,7761,13633,3350,12327,6630,12454,14623,9621,12964,580,5116,12460,5510
-,1715,3053,6323,683,11823,4410,8984,13925,1781,2664,6220,8988,8793,12925,7950
+,2363,6178,13218,13889,6085,9598,10663,13114,9482,5124,12686,2879,9907,12275,5855
+,3634,14276,4602,12888,13416,11919,12803,14874,10621,4227,1550,13477,11275,14631,10214
-,8391,14141,4039,25,2416,4298,14483,10558,314,9834,2263,4731,9415,10583,5106
+,1144,4183,5764,7085,10287,11802,14726,3049,11902,9635,4968,2098,7497,6327,2264
+,6755,7096,12199,4333,4742,6633,6590,7033,7255,3058,14709,8037,13767,9679,6691
-,11467,16,14518,14734,14190,12135,1074,9247,6146,1938,1447,401,12820,8795,13843
+,4789,8698,14453,5945,14012,10137,8108,4661,4227,8773,1760,14580,8292,6580,1175
+,1347,452,7309,12657,14226,338,14004,1719,14768,248,8328,10408,10202,3054,2868
-,2485,3842,6377,6479,2145,10197,1507,8964,10867,13275,12228,8610,13545,4838,770
+,3239,3135,3662,4861,14435,9971,110,3752,8128,14942,1407,3621,11527,6590,5072
+,13724,9966,13591,506,1822,8605,11778,11791,3251,12597,10194,5293,6264,10116,1289
-,9903,4889,6713,308,11216,2539,11393,1859,2717,8177,7128,6030,3042,1293,10574
+,7467,108,7164,3870,13159,1420,3577,6171,14354,7718,10719,12909,7138,10258,3227
+,12101,7666,4383,8196,629,13274,4722,566,2999,13811,11649,585,12827,11317,5494
-,1894,230,12906,997,13031,5229,12011,1757,5509,4740,7587,9018,9296,13940,8806
+,10789,1983,5839,4700,11586,9080,217,4565,13250,14114,14793,11168,5137,7306,13626
+,54,2448,9266,1171,7634,6712,515,7657,14343,1160,2148,4668,14600,8507,9277
-,12936,6533,4633,9066,802,13049,14201,3973,11955,2188,8216,8206,8200,8607,1267
+,8823,14535,3617,3836,4907,2827,9089,14790,11096,11657,10990,5715,2490,6971,1006
+,8039,14980,3520,6645,5770,14322,3536,2556,1111,2754,7744,9158,2100,13339,117
-,13094,7315,14522,9934,14634,14609,4143,14202,2692,10491,12870,6425,11004,6590,1004
+,11288,1116,3385,1491,10515,2441,3923,10601,12444,7398,9303,7345,2020,5247,6357
+,10359,12300,9331,7942,12899,7810,7833,13003,7025,1540,4916,6091,7893,11427,6783
-,9766,526,7280,4025,14918,3524,12590,9176,10004,10199,14781,1849,14128,11917,10571
+,12259,14772,13522,2548,4513,11269,1394,9319,12557,280,9995,10691,2061,14364,12954
+,7978,1886,12609,6103,4704,5733,3645,5455,6714,12781,8462,3496,4254,12139,14641
-,6745,3010,5429,11112,10182,3226,7132,5673,13682,7250,14463,11637,12150,7207,12912
+,2029,12857,6605,9333,6548,1332,9508,10565,14307,4449,3376,5567,10836,4336,582
+,11068,8298,7093,9849,12845,6267,4814,10304,14583,4513,9950,1297,6425,13780,3043
-,14350,2137,8596,6299,12862,3860,10845,12783,5222,6505,13704,2533,1590,13851,7554
+,14061,564,13154,13354,13536,7534,528,10404,9129,5195,12978,920,10881,10382,4957
+,5243,13846,13262,1845,3394,3366,13714,10823,6051,1140,6080,1141,14681,9360,92
-,12770,9747,12724,874,14235,4115,8060,8602,8659,7691,10950,7177,1665,9384,3961
+,9071,4081,14014,7602,14342,9573,1692,3315,7738,9242,3518,13474,1773,10584,12430
+,4137,9719,2751,9290,13964,7690,3657,3389,10940,5669,6106,4068,7671,4371,546
-,721,8036,11757,4642,8416,3,2459,5337,14819,14082,2830,5841,4596,1250,3486
+,13186,13837,2625,11890,1807,11631,4932,1514,13551,13773,7864,1456,11435,7008,7749
+,8236,14217,9822,10558,8682,3922,1489,6733,3801,7090,7719,980,3776,12656,5423
-,11215,10351,1398,8115,12301,12382,8438,10128,11864,396,1540,8057,12950,3145,8805
+,11997,3486,6637,13219,5863,10615,4799,2257,13052,8657,6608,2069,814,2191,5538
+,10446,5408,14319,10442,14095,9868,1465,10942,14353,2441,14294,14623,2057,398,14819
-,5627,1527,12613,7122,256,1878,10754,1024,4090,13440,5527,9715,234,10255,883
+,6177,6866,9361,1534,9779,13942,4549,5095,12229,940,11410,7387,4635,5638,3579
+,1180,2028,12532,6285,811,5773,9698,1040,14730,11745,13670,3971,778,7364,14983
-,8517,7595,12863,4280,3674,9765,948,7873,14524,1910,7535,14263,905,1252,6048
+,6442,12503,5259,7140,322,3784,4204,13284,5575,8408,7168,3806,317,927,2868
+,2344,2150,9608,5393,2803,14165,4290,5729,13700,14455,871,11592,14165,9490,7415
-,823,10833,5427,6317,14122,2316,6841,3083,10118,519,14993,14999,3882,10942,2102
+,7460,5115,5167,8701,6723,5347,11707,13514,4319,14706,4960,9763,2786,10452,12480
+,11552,7209,7505,1849,223,11644,4050,8657,2134,1150,9202,274,12621,2868,14357
-,2341,11397,13227,7229,6645,13470,14940,8807,926,8374,3471,10606,8910,2476,4305
+,10267,12428,14742,5350,1092,7938,10007,5265,6137,12543,14253,2176,2571,5540,8281
+,14779,6036,5041,14152,169,2925,9797,7594,4696,10783,12487,8550,13278,11257,9715
-,1313,5413,12282,310,208,8457,2650,9627,1487,3253,7437,4319,4189,12396,8467
+,4634,1056,4284,12361,11351,583,9566,8055,7464,8133,12419,3875,12072,13218,1328
+,6962,531,6942,12707,2977,1902,2596,12032,5544,11753,8806,7999,3323,14475,13427
-,3834,11840,13191,1453,14225,14469,13726,582,6445,82,6063,12878,12192,7265,11154
+,10795,2071,5565,14040,10928,8000,7026,13695,469,10432,14818,9190,2523,847,644
+,4032,8063,505,597,6158,13661,10892,12879,8698,13955,12070,9742,8229,13781,7723
-,7225,558,14149,8425,13864,4978,13444,1045,12756,12372,3072,2453,10180,10072,12225
+,3843,1551,5096,1063,4834,14738,12935,5989,6804,7974,1544,4028,2645,881,528
+,10273,14699,12334,9499,3640,5758,10276,6267,3126,4363,5426,10715,3014,7435,1879
-,10091,8226,244,7041,12605,12515,9858,996,14091,5823,2708,13075,5243,10633,566
+,8355,130,8078,10845,9982,9593,12035,14351,5276,4561,13163,5400,626,9217,1167
+,5504,6454,10703,13685,3759,8357,3580,4338,13676,12515,4153,5433,7479,5098,14987
-,8930,12150,3262,13618,4726,14504,4256,7723,6527,2551,4408,12726,1795,1916,14454
+,13553,5965,12435,7162,3483,10272,13574,13175,14867,660,14771,9293,103,8941,3346
