OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,12115,716,5388,6164,1217,5502,12180,9163,6320,12363,11447,5267,11655,8693,7031
+,13338,4529,12344,1814,13257,11015,382,6548,10352,12691,6264,9588,10603,13382,13272
-,8429,14237,89,11567,2981,13475,6388,9180,12888,172,5217,4881,9937,6137,14940
+,11254,695,13756,14726,9145,9174,7025,4393,11742,11368,12290,9367,12702,1008,13663
+,12621,3174,7052,3928,1849,5830,11488,1672,12415,9322,8774,12396,3877,12043,14843
+,10893,5280,13282,1800,13538,14728,12661,8261,7223,10460,11572,8147,4258,4264,1261
+,13711,9292,3871,13061,8687,2878,13757,3721,9328,14324,7449,8660,13484,10809,14677
+,14568,2185,7805,11149,2148,118,8314,10145,4944,7817,6140,8985,13134,1390,5270
+,13645,2190,11037,3029,9791,3776,5926,9394,14751,1684,14622,3322,10656,8351,5718
+,12374,2765,9817,5638,981,4133,4269,9828,12380,13987,11990,7859,246,6891,1816
+,2664,4698,1889,8668,11973,11385,14617,1648,14443,14648,10208,10075,9464,5425,800
+,10362,7670,5790,2850,10000,9423,14007,4800,4607,3472,1648,6266,14081,3255,11727
+,14823,14892,1158,5615,1946,3771,14168,11831,317,11429,3315,3713,12402,5353,3940
+,11903,4728,9733,4795,8859,9296,13817,10581,2878,4257,13762,8768,14646,5333,3118
+,9538,10880,4203,3268,1985,7837,233,13784,5885,2595,13050,6130,7409,1192,1503
+,5161,5524,8034,10404,2538,14855,1286,9789,2123,14030,6597,8524,10710,9055,8649
+,7931,6069,915,2799,13286,5395,718,9257,890,8659,2682,8267,7047,2477,3718
+,5675,10993,14749,12209,13796,11030,5470,4980,14211,13719,4192,14201,11299,13043,14092
-,13736,626,2633,4738,13295,11914,14861,5437,2433,7715,13839,2299,6954,12047,9471
+,445,13449,4772,11117,9752,10142,7107,8462,10732,8582,6058,3736,10655,12266,333
+,7684,14276,14563,3719,8750,8840,4678,13912,14480,5635,5117,5996,10732,12216,11966
+,11250,10962,5487,1987,14192,14453,9703,2936,5944,14489,2436,7255,11605,2607,14527
+,12255,3306,3263,5977,5493,702,8084,769,14215,2263,10282,7377,10490,1161,801
+,543,12679,11969,13269,9653,6204,10671,5188,13270,8632,9735,5308,6382,948,2077
+,14356,4191,12825,13674,5864,7340,13906,8793,12097,6288,7,14515,6342,8648,9167
+,4713,13338,12873,8657,8722,12961,5766,2439,10384,6309,4448,2344,13675,5922,11220
+,10459,3686,10649,2739,12354,3488,572,14859,8210,8689,4362,5687,9018,6522,1381
+,1264,4529,8587,13027,10843,3146,435,6825,3578,12993,10709,3652,10383,665,1880
+,14566,4986,7435,11081,9476,11317,12909,33,6592,4115,5261,6314,14749,14381,8310
+,5380,4601,6731,11093,4622,395,11206,14476,13656,1301,625,14986,8260,9170,2268
+,9625,14109,2220,14904,10940,5700,11025,6965,3708,4159,7746,14164,12652,2955,6209
+,10522,7821,3732,14203,7221,10870,9354,13261,1355,6166,7327,13360,12424,13155,1281
+,3506,9784,6580,5494,11010,5661,2372,10435,8564,6640,10464,3532,920,8014,6380
+,6329,4824,8924,14310,13877,8867,8244,14999,8077,11193,5066,9450,10988,2426,13424
-,7859,8840,11097,1988,14506,1884,5788,6301,11544,10698,3709,1701,11693,10361,14585
+,8879,1405,3715,5029,8817,13636,10594,1447,7261,1474,9139,9280,12756,4085,10480
+,2846,1109,1912,2896,8236,4711,303,5533,13391,6311,14577,7016,5971,386,8381
+,2495,12354,14786,5643,2957,4717,13000,7668,6779,11401,11139,4492,2487,2772,10050
+,5439,12033,2872,14910,11469,2060,7690,4102,2927,4619,6993,10677,10477,11077,6722
+,8181,729,1132,4514,3311,14732,6966,9155,7015,788,3739,4294,7631,11271,14622
+,8353,6632,6464,369,2588,4776,6961,5519,13012,6645,538,13626,5204,2424,13050
+,12189,10008,2288,11670,11215,9893,2494,11315,8583,312,5494,12944,1692,7865,10882
+,11940,14521,11278,14263,4482,8493,847,7433,3664,2511,7302,867,5502,8664,933
+,7025,6487,12810,2380,8091,10207,3084,12540,10442,3604,10542,14911,515,12482,10521
+,13699,13895,2166,7988,4074,14837,4768,12486,2797,3088,10136,5599,12498,11666,6276
+,9241,2520,7890,4958,1008,184,13377,3365,8317,12575,14831,14207,12470,10527,2618
+,7649,7982,12921,3621,9765,12203,5311,7948,11444,10238,7474,7414,12226,4153,2448
+,3972,10007,5230,11830,1487,6638,1786,1316,3229,2053,13695,1985,9921,6887,13318
+,11453,14379,13809,9818,7618,960,9129,7842,12810,6445,13553,13760,6467,4906,283
+,8797,8496,14080,1325,7257,10451,7486,5616,4380,12159,8380,101,10682,7845,11355
-,3883,11025,13063,7657,11421,14406,5178,11358,13396,7547,6555,6920,6083,12590,7680
+,1598,7359,11050,12062,3903,12389,6305,5328,278,6985,7964,4662,5415,1422,682
+,3022,9684,7151,3831,13260,11599,8335,5817,12100,14412,13809,14711,14015,10825,3965
+,8456,7782,11036,14258,4246,12835,14473,9618,10220,11169,8440,10853,10939,12043,2574
+,12020,13730,7695,1206,8178,12361,3637,12626,14309,5379,8085,5384,7514,14631,8234
+,6694,13178,13999,14674,12346,11889,7350,6634,12447,2154,13334,5212,1550,6836,1536
+,1321,12360,13631,3394,10849,14286,6800,537,9176,9022,13034,11835,9011,3312,5904
+,6606,10987,4974,11935,3256,7671,9062,14969,441,14535,965,565,5179,13014,9486
+,984,7482,14508,13286,1675,13602,2025,14134,8554,7612,9348,9736,7176,7148,6376
+,7231,10692,2297,13598,931,7334,7925,13940,6116,6979,2744,13927,10776,3413,8520
+,481,10422,12964,11279,3877,2116,2279,10205,876,443,14419,13071,9125,1917,1943
+,9479,3151,11722,2353,4355,11478,13636,7665,10563,3338,6933,13872,11557,3800,5846
+,12442,14717,10891,7329,6413,13587,312,13805,12527,13286,613,8582,4678,5403,14529
+,5666,4274,11187,3431,13758,13849,7208,7781,2085,306,11742,2990,11149,5140,4483
+,4305,30,10601,7993,9340,6683,8089,13115,1489,13165,13871,13117,4146,4321,9024
+,6642,3780,13955,4881,1972,14689,7270,7838,3212,10266,7476,8869,5958,6893,491
-,6489,10089,7394,1051,8964,612,930,2911,6186,4847,2734,8679,5680,1393,10699
+,14940,12661,4068,13089,5357,10329,3156,6139,9855,845,13329,8950,7085,10099,13706
+,3350,8316,3321,7365,8514,3569,2000,13199,8079,5596,9570,11926,82,6383,1313
+,13284,7357,1657,9313,9766,2146,7074,1008,7671,14154,4576,13887,14186,1110,2208
+,13060,11402,13472,438,7271,9163,12280,7643,12508,9541,12747,3098,8477,9594,10403
+,1229,10754,10755,11029,2654,8081,14654,3830,14979,9462,10006,6676,8173,6285,6128
+,6027,9085,8188,7291,14934,7852,13658,1299,3074,7208,9219,5573,6080,5952,2117
+,13639,1156,3451,9947,6162,223,894,2308,887,5788,3903,13843,10806,14739,9153
+,8731,10699,9065,7380,3783,14772,1608,1846,5318,2100,4572,10273,190,6192,2909
+,965,9155,14335,10613,4612,10909,8020,8041,7406,11002,3818,4434,2602,12951,3060
+,11789,10172,9966,10088,68,4832,733,10388,7259,11900,6609,4913,13262,232,3535
+,14876,9360,84,12036,2711,14528,3590,2486,12140,12825,3822,9908,11455,7100,8251
+,11833,12234,4101,7968,12253,10495,10867,6240,1098,12311,13454,9065,444,13939,357
+,7111,5748,3162,1137,736,1225,10383,4065,12753,9058,8922,14544,2910,11396,4571
+,13701,5644,5206,11738,14602,8619,3345,489,246,3619,11217,4223,14751,10561,9218
+,5704,2030,338,5024,1131,12930,6102,7737,6570,10375,5083,9678,553,10960,4446
-,8880,1759,464,11817,4118,1644,3568,9275,13628,13730,7624,10992,10447,3121,9106
+,4059,9066,12604,10012,14701,4002,2510,9847,9927,2699,7421,12300,8339,4740,4546
+,4675,5180,6465,14493,11610,7569,13347,1810,10331,3835,11142,10826,8290,12025,1664
+,4191,8650,2998,7131,9758,1577,3666,7010,5959,4245,13226,1341,3974,9909,12473
+,6619,8016,12707,4943,9033,5963,9084,13590,2942,2196,2517,13566,12794,1766,5077
+,10068,13687,1534,442,2773,14969,5778,9265,8719,14350,10330,14378,7378,3437,1856
+,7546,14295,6209,672,14869,14166,5368,8773,14764,14920,9325,14702,1940,4237,7046
+,4786,2895,3927,10851,3524,1332,3827,864,14743,342,1616,10555,9912,10529,5371
+,7735,1618,6513,1770,13084,5696,6156,1843,14842,3149,10457,7398,311,8972,7238
+,5646,10287,1955,4703,14074,11581,3032,14659,5896,9671,2309,10329,6251,3741,8219
+,5370,7119,12286,6100,6260,1500,1508,14063,8153,775,9972,11289,13982,6004,2710
+,5932,10354,8877,13000,3300,8348,12353,3965,8753,7419,13905,5519,10968,10039,11999
+,8387,2170,1625,3914,2673,14491,12407,3928,6053,8862,14634,12656,10147,606,5884
+,1670,11537,7615,8450,2916,14448,7778,11246,11558,8013,2391,12793,3236,14181,14557
+,6627,11883,6861,7893,14325,6767,4841,8550,2491,7368,9130,447,7853,9362,3737
+,99,10982,5972,8453,14089,14830,5068,11409,9942,8195,5087,10179,4335,2,10954
-,384,11102,10402,12257,6536,1086,1016,8342,4953,3479,12044,5000,1065,8122,13658
+,9777,10877,7131,1503,9527,11185,14346,4749,12949,7577,12568,4900,2207,13626,8386
+,6639,10867,11900,6461,5855,8965,5480,11066,10856,5002,3821,8434,1169,14500,1680
+,13043,9079,4488,9935,4600,1732,12107,1804,6150,1625,3544,11552,9738,10922,1133
+,11144,9721,9123,6050,8854,13263,1443,11826,10584,13470,8324,9689,13973,4872,8447
+,13308,7543,6112,11013,923,13434,7947,9792,4969,1366,7109,12133,11799,391,7244
+,372,9463,4438,5181,2957,7141,10588,5654,3360,421,3890,5143,8042,13410,4123
+,2961,13137,14765,2043,692,11211,6391,4113,5280,301,14803,6473,10546,12411,962
+,5643,7677,293,13570,2720,4902,7678,9453,13565,138,804,7740,5841,1446,4049
+,13188,4168,6137,9554,7973,11548,9254,6171,4102,11207,9432,14319,14873,5822,10315
+,5229,4092,5972,13108,11401,4140,8355,7697,13603,7321,7339,10113,2051,10660,4123
+,9475,13963,6159,8065,3431,10986,7395,1419,8542,8265,14249,9875,7467,12386,9184
+,4040,6985,4907,4581,4723,1084,9411,7357,13497,10129,11744,12972,8155,9488,7353
+,14304,8797,360,11780,12630,394,12861,11602,5917,6001,5857,11830,4033,3371,14053
+,2525,11477,8253,7815,1557,7822,12127,14267,2717,12937,1324,5996,2472,14514,8104
+,5022,12243,11203,5345,3345,1882,14329,9045,9396,3179,7285,5632,12959,7862,7115
-,1738,6754,13324,3731,2585,11298,200,8565,13433,4393,3587,5827,7245,1052,13983
+,7372,12762,6844,7867,1177,3064,9295,14768,11425,13422,9599,9535,5372,12930,3820
+,9162,4589,12221,8864,11224,9132,3661,7875,1800,10447,801,10027,1030,5723,11943
+,418,5977,8160,9191,5537,3955,7006,11253,8321,3639,12860,2973,9445,7758,555
+,528,569,14100,12585,10687,3547,1795,4595,9606,4427,413,11261,11232,1589,10218
+,9661,10327,12761,8890,13810,4998,10374,13051,12265,622,2911,12375,5007,13039,7303
+,10929,14249,4875,10126,12545,11382,10913,2139,12854,2849,6998,11922,11806,5294,1427
+,8544,10359,10818,4194,12842,5959,14233,14702,9567,6201,8613,13577,12325,12954,7059
+,2471,12929,6412,5649,4664,11379,1950,1080,2423,12319,14405,5177,3375,12200,10382
+,4832,13357,11168,4542,7568,2392,8228,14455,785,13176,6117,1669,13610,5733,6713
+,11999,6989,1481,12521,9461,14248,7618,2400,178,849,9196,6995,7754,1439,3297
+,5623,5003,7012,10019,14309,13980,4592,1819,6866,13061,11052,6283,9496,432,14380
+,14787,6965,10644,1100,10877,14675,10491,12513,14541,2068,14640,1419,13691,12891,483
+,5711,2069,1553,11462,4637,1002,1314,2301,3489,7197,13031,8987,7154,6140,1025
+,6671,9951,4851,13679,9550,9451,11496,2110,9978,2483,6314,7631,11216,7961,11939
+,11456,5089,13393,983,3378,13010,6871,7587,7885,1562,5407,13916,8698,8664,8265
-,4559,8341,795,6189,4267,12804,6327,7583,9172,11164,9712,6426,10987,8234,6569
+,11762,3807,2118,5738,13814,12961,10101,1129,13704,5590,7795,1335,3634,3075,4697
+,748,4063,7734,3258,9281,451,4718,2566,14668,9468,4942,3543,2017,5070,11346
+,6646,1289,1420,1053,9935,11091,14256,3642,6398,13072,14603,14575,10075,8705,5892
+,8150,2157,5143,3580,235,8268,7011,2245,3891,9544,12513,4373,7086,8610,12319
+,1503,1187,11577,5109,10949,14639,9388,9137,901,728,11348,2954,12102,10411,7370
+,10600,12957,11855,2549,1770,13708,8208,12891,10744,1247,13009,13650,2777,1745,8450
+,3731,4597,10981,1736,533,1906,1592,7016,12518,581,1037,3988,14332,13037,14560
+,9120,787,8653,7638,8370,6408,3678,6575,831,2499,9266,9457,107,7723,9915
+,4908,9552,11552,13133,12615,1053,14117,6189,2932,11699,10122,14565,11330,14108,5726
+,10767,12407,13848,11413,5389,8557,2968,2946,2044,5397,4939,10307,6994,6198,11976
+,852,14310,14254,6408,5975,12929,1774,883,13082,11564,6824,14773,6777,4697,4893
+,14815,8911,4541,181,5579,5012,4301,12404,12914,14659,6735,4255,12839,6257,9660
+,6427,8784,4564,2362,1235,3340,6499,10039,7067,11371,2156,10174,1867,10892,12932
+,4004,10493,8897,10476,3254,5934,14826,310,14256,8344,7969,4652,8433,5018,9872
+,6963,7172,1124,13627,4433,3881,3332,4181,12809,3061,3096,10539,11073,13147,8511
-,8645,9021,1063,14219,2188,7946,237,9832,9837,12195,116,6064,8915,6318,12989
+,174,14516,14486,10619,12081,3053,5498,8359,3784,12711,14689,5247,13050,5878,1033
+,5641,2368,11481,8500,6011,3681,5193,4031,6412,12208,13487,13531,5994,13395,13967
+,11951,13183,13827,9618,4902,6445,9985,14624,3451,85,5288,6776,10536,4886,6817
+,6951,12892,8051,2851,1302,14841,11074,11510,211,14009,7649,873,5544,5134,10753
+,11772,4593,8600,12535,3509,14220,5282,6071,5389,10864,4710,4930,6932,10158,10557
+,11927,4379,11807,9850,10043,6133,4523,3504,12755,12484,6005,5500,4968,874,8986
+,5706,14089,14966,10347,9696,9018,206,10564,10791,2420,9878,4482,11121,10810,3793
+,5732,3998,13800,137,2848,4979,12981,4497,932,3242,12426,1207,6387,8089,14947
+,10821,8004,7418,5181,4235,561,12658,13156,5529,14379,10136,8167,13594,9595,13769
+,13663,13664,192,4705,12734,6692,14232,8844,462,12974,10337,342,14972,6475,9191
+,10894,267,946,13876,10642,2441,10547,8539,4738,4769,833,4449,6316,9309,8032
+,5702,13451,8738,3987,12024,5901,10764,14094,12041,9638,12042,12385,7313,3204,12034
+,6510,4091,5366,7955,7220,14392,5551,7179,7426,3083,9614,6164,13201,856,1020
+,14446,6398,7841,5252,13586,10818,13812,14592,11683,11968,5546,14590,5067,1156,2543
+,2176,4891,1024,14232,1036,11254,8645,1875,6425,9778,14174,10217,2194,5392,12186
-,1107,3193,9900,12502,8079,7012,6423,793,14251,5382,13616,1818,4997,11920,2789
+,11688,5821,13838,1833,4455,14299,5672,12220,11412,437,14848,7165,9617,10786,7293
+,7977,1371,7088,10881,4874,12127,4671,6000,1942,8929,1329,14605,10835,8831,10392
+,1516,5214,6437,7047,5615,2079,11609,583,14558,1942,5479,6384,3568,9992,13274
+,3406,6719,249,10473,8031,6388,4334,3842,8001,10295,9826,9556,10317,13158,13368
+,6104,3396,5552,5193,1086,3898,13940,1816,7541,9007,12250,7602,4546,3175,2842
+,7942,1092,1034,8032,9914,11722,3,11907,5591,5804,8536,13629,12846,8893,9284
+,145,6302,13839,4172,13662,2643,10123,7492,4725,3297,1444,13282,1555,10948,9090
+,13807,2472,8811,3911,13618,3631,913,7662,5011,446,10323,3064,2902,7833,7046
+,11022,5522,218,4503,10536,9316,13151,9498,2766,11296,2221,8192,9249,7975,14278
+,2881,6795,13014,2475,12478,13201,12347,304,14045,435,3322,470,9663,11557,13228
+,13821,5510,1756,5052,3670,1619,8887,14091,2657,2214,10480,6407,12915,2480,7640
+,2045,10030,3510,746,7422,13061,8605,3862,30,6609,12595,12683,7401,10475,14678
+,12679,13055,783,6614,1977,8569,6811,10004,14327,867,6627,12060,10257,6867,2150
+,9094,3142,6895,10548,7350,12601,6096,2604,1552,13633,14527,2196,2868,14058,9572
+,14149,2359,13425,11141,14258,1168,14379,14133,9566,2758,5917,7748,9761,9408,11519
-,5966,3536,12621,4765,9403,9519,6511,10330,10413,11802,10148,748,9590,10001,6255
+,6672,11690,856,13281,5415,10734,11594,6176,7638,3597,11155,12650,9400,10562,12996
+,4871,2070,13288,12080,8541,421,7178,13010,12658,3523,3589,9269,2313,687,857
+,14954,244,9860,3378,13383,8770,4530,130,7932,8323,2925,1850,2285,2819,7230
+,4869,3470,4015,8800,3763,2247,10182,1878,12194,12223,13768,10110,7369,6007,2313
+,6978,3247,727,11771,1899,8499,11971,3687,12761,6178,4620,12966,5678,1288,295
+,757,4078,122,10673,14421,1625,14065,2956,951,6495,11240,11641,620,293,9095
+,1525,5196,12056,11031,9524,3269,8518,87,7702,12290,1183,3468,6519,6803,8240
+,1963,6260,10595,9188,13168,14554,9209,6111,14819,9113,1343,678,14050,3203,14869
+,11843,10751,4402,852,2606,1221,595,7236,10328,4965,10042,7458,14848,10822,14879
+,11448,11582,9098,2351,8314,2324,3977,10435,2037,9763,8460,4356,12298,4107,409
+,5648,4691,14411,12600,9683,576,5739,6626,8039,193,11797,10745,13655,13513,3056
+,825,10654,8868,951,1059,5694,4349,7436,4390,11453,6350,13502,2040,6818,14262
+,158,9412,13245,6899,3612,347,4716,9174,1273,8943,10795,4996,12952,13912,3517
+,13805,13167,3647,11564,3420,13244,7615,3377,10334,9950,3604,8711,988,14066,10415
+,2395,5981,9226,10449,110,13707,64,12224,4913,7432,735,4597,11808,9435,3168
-,13130,3063,11312,10490,718,9042,4947,1748,1031,1188,6401,7860,8399,13315,11981
+,13913,11334,1930,14520,1917,8143,6138,2262,552,1203,99,13292,11376,5866,9100
+,11011,6125,4628,11276,8881,12177,1073,696,3417,986,8781,671,10020,10221,11473
+,55,11375,7104,5623,14233,7710,2355,14766,8596,2159,13897,10319,1019,3916,8816
+,10575,2615,11,13902,3175,11148,3549,2151,4504,11507,11254,1757,5949,5579,5292
+,14428,4666,12475,5865,14150,5956,3255,4433,11570,11582,8546,1662,10721,6757,14127
+,12288,14865,11689,70,12771,9370,845,13646,10842,6089,14578,1990,11968,10744,10043
+,14802,7734,8896,14102,1947,6131,1337,14682,424,11864,13152,4868,223,1466,4528
+,7951,342,157,12985,14678,4617,7428,3361,9115,3460,11343,7745,8109,11137,2322
+,8170,12929,6732,13818,908,807,439,10731,12447,6165,7454,11324,4200,3591,5301
+,8330,5289,5693,1088,7024,4038,6997,7254,9787,12424,3357,2642,5450,6257,13363
+,2463,545,1344,9921,1654,3292,2210,1619,657,4035,1091,6330,3046,1581,3686
+,13481,9140,3418,6439,12403,5641,13304,10703,14567,11361,6462,1372,1115,11702,13275
+,7807,5660,12017,8989,11718,9278,13767,12354,343,11608,974,11684,807,1439,7034
+,2001,5557,6280,2738,9824,5010,5860,1288,12626,10265,10200,14981,11535,14794,223
+,9927,9544,12191,2210,10175,14258,9444,10839,4021,10188,4028,3771,10499,8447,13217
-,6753,8287,6763,3515,12305,1104,12179,11267,13243,7477,11282,5618,11642,7525,1391
+,3163,8906,3999,4783,10041,13531,5916,7698,10535,11457,3014,12549,3188,7792,5967
+,5903,13907,3306,423,9348,9301,3901,4124,13703,8868,12923,12940,12230,10098,11631
+,13316,4899,8043,4426,11074,3877,3338,7939,1192,672,2921,12406,9665,6420,226
+,9966,4329,340,4577,6186,736,1800,12567,3170,6832,13403,14306,3328,13980,14440
+,14523,10394,12853,14589,3472,13313,13424,10823,12921,10911,11334,2055,7716,12099,4875
+,13936,5023,14890,4198,4024,7802,5678,14337,5476,5121,8290,10706,4147,14280,12560
+,6808,681,13810,14032,9739,2605,10540,11116,4563,2234,1171,1947,2883,68,9589
+,5366,431,1734,9081,7529,5944,4961,6290,8409,12667,5048,3118,6814,474,11262
+,14076,10370,3244,11464,26,5174,1915,8023,10307,1251,4823,14785,10623,3462,14080
+,14020,9342,386,12372,7267,13305,3021,6960,13526,1088,2016,6552,5636,3910,2148
+,3002,3083,12376,9047,11259,1498,11793,5014,8718,14717,10846,1476,2380,5183,197
+,3325,5725,4059,14288,8646,9008,462,4742,7385,10800,10843,1297,5987,9713,5186
+,10933,14035,6733,14348,12275,13869,4008,2683,14036,1348,4803,7300,2429,10573,2735
+,12343,3073,14750,3088,7561,3671,11080,14298,546,8526,10973,11804,6592,2679,12661
+,11142,8252,2211,9410,176,7281,12763,646,7992,10687,11258,14715,6719,6370,1422
-,3737,4355,762,12078,465,6332,9240,2052,708,11665,4437,1185,7657,3123,2023
+,11055,14588,10933,5925,5962,13905,9089,1483,4179,8710,13422,6864,5965,5781,13985
+,11595,2531,11352,902,8963,4014,6324,3637,1837,3290,1972,4262,9031,7785,2311
+,841,8168,12206,512,1203,9590,76,4631,5904,13755,1539,7340,13289,1642,5149
+,4091,3995,11387,2419,2556,10572,7328,437,14607,13498,12983,527,5166,4203,10596
+,6237,26,7811,3019,2578,3287,12696,4040,1295,12847,7307,6904,12460,10658,3224
+,12100,2574,14681,1312,10643,428,13450,2136,1919,1044,4072,6351,13171,4542,14183
+,2485,10544,8760,12939,2886,92,14286,13838,3236,8820,6691,1322,8976,951,8404
+,5472,14539,12540,11363,4229,7314,8463,9292,6640,2389,2273,12056,9217,946,8212
+,10124,1610,127,5731,3606,617,8384,6887,13977,14320,8650,2582,3968,11648,14571
+,13015,5990,5306,10629,1934,2398,3515,14560,11665,8356,10810,11066,8940,13236,253
+,12239,6829,7755,11435,13653,298,7084,2678,12733,10961,748,13723,8197,2694,3836
+,14175,6077,4369,2602,8129,13642,9713,12557,8896,9751,1970,1151,6134,9769,12044
+,5997,10706,8801,7405,6955,54,4696,8627,4178,4231,6873,7434,4160,828,4435
+,527,4154,4421,3920,558,8767,8481,2590,7010,4827,3107,1735,7248,10601,11511
+,10017,10281,1256,10994,8018,1716,10526,7252,10269,6553,2515,9114,6402,1050,8083
-,10807,10146,11358,14433,9080,8660,9364,8663,6553,761,742,5223,14980,6149,11885
+,1139,5506,5191,3036,9364,11217,6112,3287,1850,6163,11486,1319,8179,6871,12308
+,9367,1876,2996,5025,5931,6916,4192,13391,10485,13878,8195,13887,9058,9822,5739
+,9105,13030,10105,10239,7418,10419,9643,1466,8501,9695,1940,9673,4271,2299,9890
+,6900,12543,5854,11377,7920,12643,5196,4730,11824,9218,13461,12838,9184,8815,2649
+,1558,10137,10048,3139,594,184,3334,8892,14750,11728,9155,1774,1868,13696,11190
+,12090,6665,2636,12723,3894,9948,11842,14804,4668,11323,11836,272,12658,6076,13020
+,9564,13560,6778,6798,11842,4407,3686,334,4451,11013,10447,11118,9345,5388,12864
+,13036,8366,13429,14691,4009,860,4827,7161,9933,5761,1248,8833,14589,3237,9649
+,11828,7560,3085,13006,10965,4408,10720,3766,7983,13040,11475,7380,13456,11527,4310
+,7642,11359,11953,8621,6329,12950,9435,11930,4800,2323,5783,14965,1894,3579,9828
+,2843,7050,5118,5419,4839,4424,9046,12197,5326,1318,6906,1595,5997,12669,227
+,2538,11892,2743,10018,3901,14234,11597,3830,9020,13025,5296,3670,6350,6888,6209
+,3402,5568,11800,12738,4852,14981,6090,13069,2660,14375,14974,9664,9748,12598,12163
+,4653,9987,6181,14409,1946,4669,5541,5794,790,1351,4698,7172,7235,13751,11894
+,11566,9952,4827,5482,4794,4567,7200,3514,2884,9527,8691,2985,12470,1122,14485
-,1948,377,9997,6396,13,12040,1029,3993,4814,10374,8676,3623,3483,8161,6971
+,2344,6696,6352,14866,7462,11374,1540,13367,14938,8563,11796,11549,1568,10177,3987
+,8072,10166,8083,6565,5025,10510,11040,7861,6998,3767,12390,10015,3621,10062,10553
+,13289,14576,453,10718,2839,10398,2643,2245,13356,8744,7144,12959,13349,7398,5336
+,6684,7779,3213,1245,2784,8963,2953,1458,467,12517,14392,13090,11798,11867,9859
+,13150,4328,2037,9196,10600,4090,964,10941,14304,4840,8612,3210,13563,1246,10716
+,1120,9366,4665,5098,9757,11325,11024,14604,7835,2099,8849,9223,3259,8746,2821
+,1504,11043,8885,13419,11118,9355,5297,11387,5756,14661,1532,9723,14255,4002,69
+,1830,8169,168,7377,8481,8474,13883,14597,10517,2735,851,13548,14899,7220,871
+,5741,6097,9704,3752,11147,9109,596,10107,8956,2912,562,14276,11424,3349,190
+,13577,13160,6694,13375,14600,11496,11628,3008,5323,171,11991,8038,7731,3814,9007
+,1660,10082,13919,7781,7527,14794,5350,2553,11898,2906,11831,2277,2361,4734,14858
+,2250,13284,529,12169,14528,8359,7100,1153,9258,14659,9447,6882,14979,8079,3076
+,4417,5428,233,8848,6418,14171,11219,9478,296,3329,1296,8663,9618,7137,13070
+,14824,5689,4044,14231,4505,1662,556,1355,6101,1729,11636,2462,14801,2703,14428
+,444,10619,13794,9536,5997,2821,13839,8050,12621,5547,14140,736,11151,4235,10581
-,7130,10352,7927,12625,289,13042,6585,3046,9364,11395,4474,8163,1905,10356,3523
+,13123,12694,12959,357,5896,9564,7384,7572,8260,9838,11761,9083,3858,5119,7531
+,7228,10873,7707,10601,12337,3003,6368,14452,12494,14156,6010,10195,3693,6059,9055
+,6967,11897,2072,1599,9149,12995,1501,5344,9261,3610,13753,84,493,7954,1692
+,8677,8514,14669,13541,14106,4442,11595,10262,14221,3827,13244,2684,3067,1166,2684
+,12430,7898,14045,3649,2054,9996,14667,10291,4439,9783,3822,6597,13833,3811,1921
+,12151,1304,12360,12847,10166,2512,10027,4487,2801,9224,7828,4314,7803,13063,9841
+,9147,2014,2575,14572,4428,9467,3803,253,12532,14710,3651,13900,637,7295,6825
+,11076,3040,13950,1991,6997,4800,5629,14487,1978,13849,7607,7376,492,14813,6089
+,13517,2127,1222,3602,2414,1801,5379,13239,1432,9966,8250,4995,6550,1950,7484
+,3832,14956,489,2320,4611,8284,11346,7530,13770,12040,4551,2898,1011,5137,5229
+,792,8549,10375,6240,9804,1583,5444,14638,10921,6880,693,14649,5550,1967,14362
+,10854,6036,3569,170,4095,13563,6027,14008,8716,8669,3972,3063,7443,12007,432
+,14560,5517,10017,3832,1651,2805,7853,5048,14665,5188,4796,5524,9382,2812,4290
+,1920,628,9859,2881,1817,4778,3433,2580,4412,1584,11859,12772,2356,3042,8180
+,1869,4217,1503,12881,2744,2020,4890,7079,4543,8456,7945,6071,1294,12210,5138
-,10481,924,5072,13289,890,10599,7509,7192,12229,14268,2805,6020,12896,2630,3652
+,10098,5517,12967,14698,3323,287,9686,10776,3181,3405,13312,2560,12856,10439,4124
+,6177,7659,3738,5901,11709,7585,4103,14011,3195,5225,7205,8766,2374,8346,12360
+,12428,4547,6674,13062,1622,7578,12600,21,9553,6196,13727,8014,10420,11087,13332
+,1882,8041,2249,5408,7490,11994,3225,10641,8823,9908,824,13442,11883,1503,6219
+,9889,12736,12624,10243,12457,5842,6031,6441,3507,175,8784,11844,10778,199,10642
+,1096,6191,12283,10809,8662,10244,1877,5717,7165,12351,8189,1487,8692,12933,1274
+,11070,66,12277,13946,13613,3384,12229,5347,14111,11699,13816,10365,2333,12290,6406
+,2232,13283,9215,5190,11833,13172,2044,11663,12498,2827,194,2437,11249,609,1426
+,3834,1011,7036,4675,5123,192,9865,11703,1692,13329,3245,8845,8963,13767,8057
+,13417,996,4459,9004,4220,1824,9567,8819,1927,13942,12541,6077,4464,5058,7049
+,13613,2801,1620,10941,4201,11603,13475,6461,7578,246,10483,9241,2817,3753,36
+,10954,11371,2184,4780,4044,7383,14765,7262,14765,5848,12369,4653,2584,8497,2922
